CompanyName;MarketCap;EmployeesTotalAmount
APPLE;2.278;NAN
MICROSOFT;1.917;NAN
SAUDI ARAMCO;1.81;NAN
ALPHABET (GOOGLE);1.232;NAN
AMAZON;934.27;NAN
BERKSHIRE HATHAWAY;681.64;NAN
UNITEDHEALTH;503.01;NAN
TESLA;495.13;NAN
JOHNSON & JOHNSON;469.97;NAN
VISA;451.73;NAN
NVIDIA;440.43;NAN
EXXON MOBIL;438.43;NAN
TSMC;414.99;NAN
TENCENT;399.25;NAN
WALMART;395.53;NAN
JPMORGAN CHASE;391.31;NAN
LVMH;379.86;NAN
PROCTER & GAMBLE;362.18;NAN
ELI LILLY;345.38;NAN
MASTERCARD;343.73;NAN
HOME DEPOT;339.82;NAN
CHEVRON;333.22;NAN
NESTLÉ;328.43;NAN
META PLATFORMS (FACEBOOK);322.4;NAN
KWEICHOW MOUTAI;322.17;NAN
PFIZER;305.81;NAN
SAMSUNG;304.53;NAN
NOVO NORDISK;303.18;NAN
ABBVIE;291.55;NAN
MERCK;282.82;NAN
COCA-COLA;276.72;NAN
ROCHE;271.06;NAN
BANK OF AMERICA;258.96;NAN
PEPSICO;252.61;NAN
ASML;248.27;NAN
ALIBABA;240.68;NAN
BROADCOM;232.65;NAN
THERMO FISHER SCIENTIFIC;222.46;NAN
ORACLE;220.6;NAN
ASTRAZENECA;218.29;NAN
COSTCO;214.6;NAN
RELIANCE INDUSTRIES;212.05;NAN
ICBC;208.55;NAN
CISCO;202.52;NAN
MCDONALD;201.07;NAN
L'ORÉAL;199.66;NAN
DANAHER;199.62;NAN
SHELL;199.54;NAN
NOVARTIS;199.03;NAN
TOYOTA;197.36;NAN
ABBOTT LABORATORIES;193.98;NAN
ACCENTURE;183.78;NAN
T-MOBILE US;177.11;NAN
NIKE;174.37;NAN
NEXTERA ENERGY;172.98;NAN
WALT DISNEY;171.69;NAN
HERMÈS;170.61;NAN
LINDE;168.46;NAN
BRISTOL-MYERS SQUIBB;164.01;NAN
WELLS FARGO;160.72;NAN
TEXAS INSTRUMENTS;159.56;NAN
UNITED PARCEL SERVICE;159.41;NAN
PHILIP MORRIS;158.83;NAN
ADOBE;158.02;NAN
BHP GROUP;157.92;NAN
VERIZON;157.28;NAN
MORGAN STANLEY;152.95;NAN
COMCAST;152.83;NAN
TOTALENERGIES;151.3;NAN
CHINA CONSTRUCTION BANK;150.61;NAN
CATL;148.55;NAN
RAYTHEON TECHNOLOGIES;146.93;NAN
TATA CONSULTANCY SERVICES;146.67;NAN
AMGEN;144.66;NAN
CHINA MOBILE;144.38;NAN
HONEYWELL;144.36;NAN
CHARLES SCHWAB;144.33;NAN
AGRICULTURAL BANK OF CHINA;142.12;NAN
NETFLIX;141.44;NAN
MEITUAN;140.76;NAN
CONOCOPHILLIPS;140.64;NAN
PROSUS;139.46;NAN
DIOR;136.61;NAN
QUALCOMM;136.43;NAN
SALESFORCE;134.75;NAN
AT&T;134.7;NAN
IBM;134.32;NAN
UNION PACIFIC;133.76;NAN
DEERE & COMPANY;132.32;NAN
CVS HEALTH;132.29;NAN
CM BANK;132.08;NAN
ROYAL BANK OF CANADA;132.03;NAN
UNILEVER;130.1;NAN
HDFC BANK;128.72;NAN
SAP;128.31;NAN
LOWE'S COMPANIES;128.26;NAN
AIA;128.07;NAN
PETROCHINA;127.76;NAN
LOCKHEED MARTIN;127.15;NAN
