CompanyName,MarketCap,EmployeesTotalAmount
Apple,2.278,NAN
Microsoft,1.917,NAN
Saudi Aramco,1.810,NAN
Alphabet (Google),1.232,NAN
Amazon,934.27,NAN
Berkshire Hathaway ,681.64,NAN
UnitedHealth,503.01,NAN
Tesla,495.13,NAN
Johnson & Johnson,469.97,NAN
Visa,451.73,NAN
NVIDIA,440.43,NAN
Exxon Mobil,438.43,NAN
TSMC,414.99,NAN
Tencent,399.25,NAN
Walmart,395.53,NAN
JPMorgan Chase,391.31,NAN
LVMH,379.86,NAN
Procter & Gamble,362.18,NAN
Eli Lilly,345.38,NAN
Mastercard,343.73,NAN
Home Depot,339.82,NAN
Chevron,333.22,NAN
Nestlé,328.43,NAN
Meta Platforms (Facebook),322.40,NAN
Kweichow Moutai,322.17,NAN
Pfizer,305.81,NAN
Samsung,304.53,NAN
Novo Nordisk,303.18,NAN
AbbVie,291.55,NAN
Merck,282.82,NAN
Coca-Cola,276.72,NAN
Roche,271.06,NAN
Bank of America ,258.96,NAN
Pepsico,252.61,NAN
ASML,248.27,NAN
Alibaba,240.68,NAN
Broadcom,232.65,NAN
Thermo Fisher Scientific,222.46,NAN
Oracle,220.60,NAN
Astrazeneca,218.29,NAN
Costco,214.60,NAN
Reliance Industries,212.05,NAN
ICBC,208.55,NAN
Cisco,202.52,NAN
McDonald,201.07,NAN
L'Oréal,199.66,NAN
Danaher,199.62,NAN
Shell,199.54,NAN
Novartis,199.03,NAN
Toyota,197.36,NAN
Abbott Laboratories,193.98,NAN
Accenture,183.78,NAN
T-Mobile US,177.11,NAN
Nike,174.37,NAN
Nextera Energy,172.98,NAN
Walt Disney,171.69,NAN
Hermès,170.61,NAN
Linde,168.46,NAN
Bristol-Myers Squibb,164.01,NAN
Wells Fargo,160.72,NAN
Texas Instruments,159.56,NAN
United Parcel Service,159.41,NAN
Philip Morris,158.83,NAN
Adobe,158.02,NAN
BHP Group,157.92,NAN
Verizon,157.28,NAN
Morgan Stanley,152.95,NAN
Comcast,152.83,NAN
TotalEnergies,151.30,NAN
China Construction Bank,150.61,NAN
CATL,148.55,NAN
Raytheon Technologies,146.93,NAN
Tata Consultancy Services,146.67,NAN
Amgen,144.66,NAN
China Mobile,144.38,NAN
Honeywell,144.36,NAN
Charles Schwab,144.33,NAN
Agricultural Bank of China,142.12,NAN
Netflix,141.44,NAN
Meituan,140.76,NAN
ConocoPhillips,140.64,NAN
Prosus,139.46,NAN
Dior,136.61,NAN
QUALCOMM,136.43,NAN
Salesforce,134.75,NAN
AT&T,134.70,NAN
IBM,134.32,NAN
Union Pacific Corporation,133.76,NAN
Deere & Company,132.32,NAN
CVS Health,132.29,NAN
CM Bank,132.08,NAN
Royal Bank Of Canada,132.03,NAN
Unilever,130.10,NAN
HDFC Bank,128.72,NAN
SAP,128.31,NAN
Lowe's Companies,128.26,NAN
AIA,128.07,NAN
PetroChina,127.76,NAN
Lockheed Martin,127.15,NAN
Elevance Health,124.83,NAN
Bank of China,124.27,NAN
Commonwealth Bank,122.63,NAN
HSBC,122.28,NAN
Goldman Sachs,122.03,NAN
Caterpillar,122.02,NAN
Sanofi,121.55,NAN
Anheuser-Busch Inbev,121.22,NAN
Ping An Insurance,120.21,NAN
Lindt,119.61,NAN
Intuit,117.68,NAN
Toronto Dominion Bank,117.56,NAN
Starbucks,117.29,NAN
Intel,116.62,NAN
China Life Insurance,116.58,NAN
Equinor,116.02,NAN
S&P Global,115.28,NAN
American Express,115.15,NAN
Rio Tinto,115.03,NAN
Pinduoduo,113.80,NAN
Prologis,112.22,NAN
Boeing,112.19,NAN
AMD,111.13,NAN
Gilead Sciences,110.87,NAN
Siemens,110.09,NAN
Automatic Data Processing,107.88,NAN
Diageo,107.27,NAN
BlackRock,106.86,NAN
Jingdong Mall,105.69,NAN
BP,104.90,NAN
Medtronic,104.80,NAN
American Tower,102.36,NAN
Cigna,102.32,NAN
Deutsche Telekom,101.84,NAN
Wuliangye Yibin,101.36,NAN
Sony,100.58,NAN
BYD,100.44,NAN
Keyence,100.28,NAN
Intuitive Surgical,99.17,NAN
Porsche,98.79,NAN
CSL,97.43,NAN
Stryker Corporation,96.05,NAN
NTT (Nippon Telegraph & Telephone),95.03,NAN
Applied Materials,94.32,NAN
