CompanyName,MarketCap,EmployeesTotalAmount
Apple Inc.,2.825,NAN
Microsoft Corporation,2.328,NAN
Saudi Arabian Oil Company,2.297,NAN
Alphabet Inc.,1.825,NAN
"Amazon.com, Inc.",1.642,NAN
"Tesla, Inc.",1.016,NAN
Berkshire Hathaway Inc.,798.47 B,NAN
Nvidia Corporation,660.38 B,NAN
"Meta Platforms, Inc.",617.50 B,NAN
Taiwan Semiconductor Manufacturing Company Limited,527.89 B,NAN
UnitedHealth Group Incorporated,488.52 B,NAN
Visa Inc.,486.77 B,NAN
Johnson & Johnson,475.93 B,NAN
Tencent Holdings Ltd,441.17 B,NAN
Walmart Inc.,429.05 B,NAN
JPMorgan Chase & Co.,410.84 B,NAN
The Procter & Gamble Company,384.60 B,NAN
"Samsung Electronics Co., Ltd.",378.35 B,NAN
"LVMH Moët Hennessy - Louis Vuitton, SE",359.26 B,NAN
Mastercard Incorporated,358.60 B,NAN
Bank of America Corporation,350.84 B,NAN
Roche Holding AG,349.50 B,NAN
Exxon Mobil Corporation,348.72 B,NAN
Kweichow Moutai Co. Ltd,348.22 B,NAN
"The Home Depot, Inc.",321.47 B,NAN
Chevron Corporation,315.13 B,NAN
Pfizer Inc.,300.79 B,NAN
AbbVie Inc.,294.27 B,NAN
Alibaba Group Holding Limited,290.40 B,NAN
ASML Holding N.V.,274.35 B,NAN
The Coca-Cola Company,273.20 B,NAN
Eli Lilly and Company,273.01 B,NAN
Broadcom Inc.,265.27 B,NAN
Costco Wholesale Corporation,258.15 B,NAN
Novo Nordisk A/S,257.24 B,NAN
Industrial & Commercial Bank of China Ltd,250.37 B,NAN
The Walt Disney Company,247.88 B,NAN
"PepsiCo, Inc.",241.05 B,NAN
"Cisco Systems, Inc.",238.45 B,NAN
Thermo Fisher Scientific Inc.,236.15 B,NAN
Oracle Corporation,228.18 B,NAN
L'Oréal SA,225.24 B,NAN
Accenture plc,219.03 B,NAN
Comcast Corporation,218.90 B,NAN
Verizon Communications Inc.,216.68 B,NAN
Abbott Laboratories,215.02 B,NAN
"Nike, Inc.",213.60 B,NAN
BHP Group,211.25 B,NAN
"Merck & Co., Inc.",210.38 B,NAN
Danaher Corporation,208.03 B,NAN
Shell plc,207.68 B,NAN
Novartis AG,204.13 B,NAN
AstraZeneca plc,201.75 B,NAN
Intel Corporation,201.72 B,NAN
Wells Fargo & Company,200.01 B,NAN
Adobe Inc.,199.57 B,NAN
"salesforce.com, inc.",193.80 B,NAN
"United Parcel Service, Inc.",190.50 B,NAN
China Construction Bank Corp,189.37 B,NAN
McDonald's Corporation,186.57 B,NAN
China Merchants Bank Co Ltd,185.98 B,NAN
Contemporary Amperex Technology Co. Ltd,185.67 B,NAN
Union Pacific Corporation,184.19 B,NAN
AT&T Inc.,175.88 B,NAN
Qualcomm Incorporated,172.25 B,NAN
Texas Instruments Incorporated,171.28 B,NAN
Bristol-Myers Squibb Company,170.56 B,NAN
Prosus N.V.,170.00 B,NAN
Linde plc,166.07 B,NAN
"NextEra Energy, Inc.",165.53 B,NAN
Agricultural Bank of China Ltd,165.00 B,NAN
"T-Mobile US, Inc.",164.31 B,NAN
Morgan Stanley,164.05 B,NAN
"Netflix, Inc.",163.19 B,NAN
Royal Bank of Canada,159.74 B,NAN
The Charles Schwab Corporation,158.06 B,NAN
Philip Morris International Inc.,154.71 B,NAN
Medtronic plc,151.06 B,NAN
Raytheon Technologies Corporation,150.96 B,NAN
American Express Company,150.76 B,NAN
Hermès International SCA,148.98 B,NAN
Toronto-Dominion Bank,145.41 B,NAN
PetroChina Company Limited,144.50 B,NAN
Commonwealth Bank of Australia,144.32 B,NAN
"Lowe's Companies, Inc.",143.77 B,NAN
Amgen Inc.,141.72 B,NAN
Bank of China Ltd,141.22 B,NAN
HSBC Holdings plc,140.15 B,NAN
China Mobile Ltd,139.30 B,NAN
TotalEnergies SE,137.50 B,NAN
Honeywell International Inc.,136.48 B,NAN
ConocoPhillips,136.32 B,NAN
CVS Health Corporation,135.27 B,NAN
Ping An Insurance (Group) Company of China Ltd,134.25 B,NAN
SAP SE,134.19 B,NAN
"PayPal Holdings, Inc.",133.92 B,NAN
