CompanyName,MarketCap,EmployeesTotalAmount
Apple,NAN,"100,000"
ExxonMobil,NAN,"63,000"
Roche,NAN,"100,920"
Home Depot,NAN,"490,600"
Pfizer,NAN,"79,000"
Kweichow Moutai,NAN,"29,031"
Bank of America,NAN,"208,000"
Chevron,NAN,"42,595"
Mastercard,NAN,"24,000"
LVMH,NAN,"148,343"
Samsung,NAN,NAN
Procter & Gamble,NAN,"101,000"
JPMorgan,NAN,"271,025"
Walmart,NAN,"2,300,000"
Tencent,NAN,"112,771"
Johnson & Johnson,NAN,"141,700"
Danaher,NAN,"78,000"
Merck,NAN,"67,000"
BHP,NAN,"40,110"
Nike,NAN,"73,300"
Abbott,NAN,"113,000"
Verizon,NAN,"118,400"
Comcast,NAN,"189,000"
Accenture,NAN,"699,000"
L'Oréal,NAN,"85,400"
Oracle,NAN,"132,000"
Thermo Fisher Scientific,NAN,"130,000"
Cisco,NAN,"79,500"
PepsiCo,NAN,"309,000"
Disney,NAN,"152,000"
ICBC,NAN,"439,787"
Novo Nordisk,NAN,"47,792"
Intuit,NAN,"13,500"
AMD,NAN,"15,500"
John Deere,NAN,"75,550"
Sanofi,NAN,"95,442"
PayPal,NAN,"30,900"
SAP,NAN,"107,415"
Ping An Insurance,NAN,"355,982"
CVS Health,NAN,"216,000"
ConocoPhillips,NAN,"9,900"
Honeywell,NAN,"99,000"
TotalEnergies,NAN,"105,476"
China Mobile,NAN,"449,934"
HSBC,NAN,"219,697"
Bank of China,NAN,"309,084"
Amgen,NAN,"24,200"
Lowe's,NAN,"300,000"
China Life Insurance Company Limited,NAN,"104,160"
Airbus,NAN,"121,056"
Petróleo Brasileiro S.A. - Petrobras,NAN,"46,416"
Allianz SE,NAN,"155,411"
Chubb Limited,NAN,"31,000"
Daimler AG,NAN,"289,282"
General Electric,NAN,"168,000"
The Estée Lauder Companies Inc.,NAN,"44,640"
S&P Global Inc.,NAN,"22,850"
Stryker Corporation,NAN,"46,000"
British American Tobacco plc,NAN,"54,365"
"Altria Group, Inc.",NAN,"6,000"
Nippon Telegraph & Telephone Corp,NAN,"324,667"
Saudi Basic Industries Corp,NAN,NAN
BYD Company,NAN,"224,280"
Charter Communications,NAN,"93,700"
Edwards Lifesciences Corporation,NAN,"15,700"
Zurich Insurance Group AG,NAN,"55,000"
Atlassian Corporation Plc,NAN,"7,388"
"The TJX Companies, Inc.",NAN,"270,000"
"Intercontinental Exchange, Inc.",NAN,"8,858"
Canadian Natural Resources Limited,NAN,"9,735"
Truist Financial Corporation,NAN,"50,283"
"Regeneron Pharmaceuticals, Inc.",NAN,"10,368"
"Gilead Sciences, Inc.",NAN,"14,400"
"Becton, Dickinson and Company",NAN,"75,000"
"The PNC Financial Services Group, Inc.",NAN,"57,668"
Lam Research Corporation,NAN,"16,300"
The Southern Company,NAN,"27,027"
China Petroleum & Chemical Corporation,NAN,"384,065"
China Yangtze Power Co. Ltd,NAN,"3,985"
Kering SA,NAN,"42,811"
General Motors Company,NAN,"157,000"
"MetLife, Inc.",NAN,"49,000"
Dassault Systèmes SE,NAN,"20,496"
PacifiCorp,NAN,"4,800"
Boston Scientific Corporation,NAN,"41,000"
FedEx Corporation,NAN,"384,000"
Shin-Etsu Chemical Co Ltd,NAN,"24,629"
AP Moller - Maersk A-S,NAN,"95,000"
"SK hynix, Inc.",NAN,"29,047"
Oriental Land Co. Ltd,NAN,"8,782"
Snowflake Inc.,NAN,"2,495"
Exelon Corporation,NAN,"31,518"
Colgate-Palmolive Company,NAN,"33,800"
Ford Motor Company,NAN,"183,000"
Newmont Corporation,NAN,"14,400"
"Equinix, Inc. (REIT)",NAN,"10,944"
Macquarie Group Limited,NAN,"17,209"
Bayerische Motoren Werke AG,NAN,"118,909"
Bank of Communications Co. Ltd,NAN,"90,238"
KLA Corporation,NAN,"11,300"
Humana Inc.,NAN,"95,500"
TC Energy Corporation,NAN,"7,017"
The Saudi National Bank,NAN,"16,113"
IHS Markit Ltd.,NAN,"16,000"
Pinduoduo,NAN,"7,986"
"Marriott International, Inc.",NAN,"120,000"
Canadian Imperial Bank of Commerce,NAN,"46,030"
Mitsubishi Corp,NAN,NAN
Foshan Haitian Flavouring and Food Company Ltd,NAN,"6,058"
Enterprise Products Partners L.P.,NAN,"7,000"
Itaú Unibanco Holding SA,NAN,"99,600"
"Marvell Technology, Inc.",NAN,"6,695"
"Honda Motor Co., Ltd.",NAN,"211,374"
"Paychex, Inc.",NAN,"15,000"
Centene Corporation,NAN,"72,500"
The Kraft Heinz Company,NAN,"36,000"
"Roper Technologies, Inc.",NAN,"19,300"
"MercadoLibre, Inc.",NAN,"29,957"
"Illumina, Inc.",NAN,"9,800"
Safran SA,NAN,"77,008"
"Synopsys, Inc.",NAN,"16,361"
Novatek PJSC,NAN,NAN
Ecolab Inc.,NAN,"47,000"
China Tourism Group Duty Free Corp Ltd,NAN,"14,217"
Hon Hai Precision Industry Co. Ltd,NAN,NAN
Fortescue Metals Group Limited,NAN,"10,232"
"American Electric Power Company, Inc.",NAN,"16,688"
Archer-Daniels-Midland Company,NAN,"39,218"
HP Inc.,NAN,"51,000"
Zijin Mining Group Co Ltd,NAN,"43,876"
Wipro Limited,NAN,"220,000"
"Samsung Biologics Co.,Ltd.",NAN,"3,247"
"Sumitomo Mitsui Financial Group, Inc.",NAN,"86,800"
"Chipotle Mexican Grill, Inc.",NAN,"97,660"
"Cadence Design Systems, Inc.",NAN,"9,300"
Cintas Corporation,NAN,"40,000"
IQVIA Holdings Inc.,NAN,"79,000"
"AutoZone, Inc.",NAN,"65,100"
TE Connectivity Ltd.,NAN,"85,000"
Intesa Sanpaolo S.p.A.,NAN,"78,000"
PJSC Lukoil,NAN,"101,374"
Saudi Arabian Mining Company,NAN,NAN
Mitsui & Co. Ltd,NAN,"44,509"
"Datadog, Inc.",NAN,"3,200"
"DuPont de Nemours, Inc.",NAN,"28,000"
Wanhua Chemical Group Co. Ltd,NAN,"19,692"
United Overseas Bank Ltd,NAN,"24,346"
Xcel Energy Inc.,NAN,"11,321"
Welltower Inc.,NAN,464
MSCI Inc.,NAN,"4,303"
BOC Hong Kong Holdings Ltd,NAN,"14,462"
Baxter International Inc.,NAN,"60,000"
CITIC Securities Company Ltd,NAN,"11,380"
Global Payments Inc.,NAN,"25,000"
"Agilent Technologies, Inc.",NAN,"17,200"
"Walgreens Boots Alliance, Inc.",NAN,"202,000"
"Digital Realty Trust, Inc.",NAN,"3,030"
Oversea-Chinese Banking Corp Ltd,NAN,"29,622"
Carrier Global Corporation,NAN,"58,000"
The Bank of New York Mellon Corporation,NAN,"49,100"
MPLX LP,NAN,"1,139"
Woolworths Group Limited,NAN,"210,067"
"Intuitive Surgical, Inc.",NAN,"9,793"
Experian plc,NAN,"20,000"
ResMed Inc.,NAN,"7,970"
Neste Oyj,NAN,"4,719"
"Shanxi Xinghuacun Fen Wine Factory Co.,Ltd.",NAN,"12,614"
"Coinbase Global, Inc.",NAN,"3,730"
NIO Limited,NAN,"7,763"
"Cloudflare, Inc.",NAN,"2,440"
Danone SA,NAN,"98,105"
LyondellBasell Industries N.V.,NAN,"19,100"
"Waste Connections, Inc.",NAN,"19,998"
TransDigm Group Incorporated,NAN,"13,300"
Public Service Enterprise Group Incorporated,NAN,"12,684"
TELUS Corporation,NAN,"90,800"
NatWest Group plc,NAN,"58,735"
Hess Corporation,NAN,"1,545"
Orange SA,NAN,"132,002"
Deutsche Börse AG,NAN,"8,855"
Cenovus Energy Inc.,NAN,"5,938"
Aptiv PLC,NAN,"155,000"
"Rockwell Automation, Inc.",NAN,"24,500"
Sun Life Financial Inc.,NAN,"22,719"
Otis Worldwide Corporation,NAN,"70,000"
"Zoom Video Communications, Inc.",NAN,"6,787"
China Resources Land Ltd,NAN,"47,537"
Telefonaktiebolaget LM Ericsson,NAN,"100,454"
International Flavors & Fragrances Inc.,NAN,"24,000"
China Vanke Co. Ltd,NAN,"140,565"
Koninklijke Ahold Delhaize N.V.,NAN,"144,550"
PTT PCL,NAN,NAN
"Coupang, Inc.",NAN,"68,000"
Henkel AG & Co KGaA,NAN,"52,450"
Energy Transfer LP,NAN,"12,558"
Loblaw Companies Limited,NAN,"200,000"
Veeva Systems Inc.,NAN,"4,506"
"Twitter, Inc.",NAN,"7,500"
Nokia Corporation,NAN,"87,927"
SAIC Motor Corp Ltd,NAN,"204,815"
State Street Corporation,NAN,"38,784"
Engie SA,NAN,"154,364"
Franco-Nevada Corporation,NAN,38
Anhui Conch Cement Company Ltd,NAN,"47,539"
"Zscaler, Inc.",NAN,"3,153"
China Pacific Insurance,NAN,"110,940"
E.ON SE,NAN,"63,227"
"AMETEK, Inc.",NAN,"18,500"
"Expedia Group, Inc.",NAN,"14,800"
The People's Insurance Company (Group) of China Ltd,NAN,"193,494"
CK Hutchison Holdings Ltd,NAN,"172,907"
Airports of Thailand Public Company Ltd,NAN,NAN
Sirius XM Holdings Inc.,NAN,"5,590"
Tesco plc,NAN,"360,000"
Porsche Automobil Holding SE,NAN,888
Semiconductor Manufacturing International Corp,NAN,"17,354"
Equifax Inc.,NAN,"12,700"
Ashtead Group plc,NAN,"21,033"
Cerner Corporation,NAN,"25,150"
Hormel Foods Corporation,NAN,"20,000"
APA Group,NAN,"2,000"
"Naturgy Energy Group, SA",NAN,"7,231"
Techtronic Industries Company Ltd,NAN,"51,426"
CSX Corporation,NAN,"20,900"
Twilio Inc.,NAN,"7,867"
China Everbright Bank Company Ltd,NAN,"46,989"
Realty Income Corporation,NAN,367
Sonova Holding AG,NAN,"14,922"
National Bank of Canada,NAN,"27,804"
"LYONDELLBASELL ADVANCED POLYMERS, Inc.",NAN,"5,300"
Canon Inc.,NAN,"184,034"
Deutsche Bank AG,NAN,"82,969"
Intact Financial Corporation,NAN,"26,000"
DTE Energy Company,NAN,"10,300"
Southwest Airlines Co.,NAN,"55,100"
Thales SA,NAN,"81,098"
Unity Software Inc.,NAN,"5,245"
Kansas City Southern,NAN,"6,522"
PG&E Corporation,NAN,"26,000"
"Cheniere Energy Partners, L.P.",NAN,NAN
"Delta Electronics, Inc.",NAN,NAN
Epiroc AB,NAN,"15,529"
Vulcan Materials Company,NAN,"11,912"
BT Group plc,NAN,"99,700"
FUJIFILM Holdings Corp,NAN,"73,275"
Fresenius SE & Co KGaA,NAN,"316,078"
"Mid-America Apartment Communities, Inc.",NAN,"2,429"
"Slack Technologies, Inc.",NAN,"1,664"
Northern Trust Corporation,NAN,"21,100"
XPeng Inc.,NAN,"5,084"
"Aena S.M.E., SA",NAN,"8,162"
Evergreen Marine Corp,NAN,NAN
Woodside Petroleum Ltd,NAN,"3,684"
"Live Nation Entertainment, Inc.",NAN,"10,200"
China Minsheng Banking Corp Ltd,NAN,"59,262"
Ameren Corporation,NAN,"9,116"
East Japan Railway Company,NAN,"71,973"
Heineken Holding N.V.,NAN,"82,257"
SABIC Agri-Nutrients Company,NAN,NAN
Genmab A/S,NAN,"1,212"
"Hengli Petrochemical Co.,Ltd.",NAN,"29,522"
PPL Corporation,NAN,"5,607"
Dover Corporation,NAN,"25,000"
V.F. Corporation,NAN,"27,200"
Olympus Corp,NAN,"31,653"
Royalty Pharma plc,NAN,NAN
Invitation Homes Inc.,NAN,"1,240"
China International Capital Corp Ltd,NAN,"9,372"
Terumo Corp,NAN,"26,482"
Société Générale SA,NAN,"124,089"
Wens Foodstuff Group Co. Ltd,NAN,"52,809"
Fox Corporation,NAN,"9,000"
Power Corporation of Canada,NAN,"30,000"
"Shimano, Inc.",NAN,"12,244"
"Contura Energy, Inc.",NAN,936
"B3 S.A. - Brasil, Bolsa, Balcao",NAN,NAN
Teledyne Technologies Incorporated,NAN,"14,500"
KeyCorp,NAN,"17,654"
M&T Bank Corporation,NAN,"17,115"
"Dai-ichi Life Holdings, Inc.",NAN,"64,823"
"Ulta Beauty, Inc.",NAN,"16,000"
Zebra Technologies Corporation,NAN,"9,800"
"Monolithic Power Systems, Inc.",NAN,"2,773"
Restaurant Brands International Limited Partnership,NAN,"5,700"
Duke Realty Corporation,NAN,340
Huntington Bancshares Incorporated,NAN,"18,442"
CNH Industrial N.V.,NAN,"71,895"
NIBE Industrier AB,NAN,"20,400"
Telefônica Brasil SA,NAN,"34,000"
Mega Financial Holding Co. Ltd,NAN,"9,594"
MGM Resorts International,NAN,"52,000"
Nomura Research Institute Ltd,NAN,"16,196"
"Brown & Brown, Inc.",NAN,"12,023"
Markel Corporation,NAN,"20,300"
Carvana Co.,NAN,"21,000"
Nippon Paint Holdings Co. Ltd,NAN,"27,318"
Guotai Junan Securities Co. Ltd,NAN,"15,198"
Mitsubishi Estate Co. Ltd,NAN,"9,982"
Investment AB Latour,NAN,"8,001"
Alinma Bank,NAN,"3,280"
Synchrony Financial,NAN,"18,000"
"Boston Properties, Inc.",NAN,743
Sojitz Corp,NAN,"19,463"
Flutter Entertainment plc,NAN,"16,813"
Croda International plc,NAN,"4,000"
CGN Power Co. Ltd,NAN,"18,248"
Snam S.p.A.,NAN,"3,388"
Magna International Inc.,NAN,"158,000"
KB Financial Group Inc.,NAN,"25,428"
Svenska Handelsbanken AB,NAN,"10,793"
Fresenius Medical Care AG & Co. KGaA,NAN,"122,909"
EDP - Energias de Portugal SA,NAN,"12,236"
"Ferrovial, SA",NAN,"18,680"
"Molina Healthcare, Inc.",NAN,"14,000"
"Avantor, Inc.",NAN,"13,500"
Shenzhou International Group Holdings Ltd,NAN,"94,400"
JBS SA,NAN,"250,000"
TransUnion,NAN,"10,200"
