CompanyName,MarketCap,EmployeesTotalAmount
Apple Inc.,2.825,NAN
Microsoft Corporation,2.328,NAN
Saudi Arabian Oil Company,2.297,NAN
Alphabet Inc.,1.825,NAN
"Amazon.com, Inc.",1.642,NAN
"Tesla, Inc.",1.016,NAN
Berkshire Hathaway Inc.,798.47,NAN
Nvidia Corporation,660.38,NAN
"Meta Platforms, Inc.",617.50,NAN
Taiwan Semiconductor Manufacturing Company Limited,527.89,NAN
UnitedHealth Group Incorporated,488.52,NAN
Visa Inc.,486.77,NAN
Johnson & Johnson,475.93,NAN
Tencent Holdings Ltd,441.17,NAN
Walmart Inc.,429.05,NAN
JPMorgan Chase & Co.,410.84,NAN
The Procter & Gamble Company,384.60,NAN
"Samsung Electronics Co., Ltd.",378.35,NAN
"LVMH Moët Hennessy - Louis Vuitton, SE",359.26,NAN
Mastercard Incorporated,358.60,NAN
Bank of America Corporation,350.84,NAN
Roche Holding AG,349.50,NAN
Exxon Mobil Corporation,348.72,NAN
Kweichow Moutai Co. Ltd,348.22,NAN
"The Home Depot, Inc.",321.47,NAN
Chevron Corporation,315.13,NAN
Pfizer Inc.,300.79,NAN
AbbVie Inc.,294.27,NAN
Alibaba Group Holding Limited,290.40,NAN
ASML Holding N.V.,274.35,NAN
The Coca-Cola Company,273.20,NAN
Eli Lilly and Company,273.01,NAN
Broadcom Inc.,265.27,NAN
Costco Wholesale Corporation,258.15,NAN
Novo Nordisk A/S,257.24,NAN
Industrial & Commercial Bank of China Ltd,250.37,NAN
The Walt Disney Company,247.88,NAN
"PepsiCo, Inc.",241.05,NAN
"Cisco Systems, Inc.",238.45,NAN
Thermo Fisher Scientific Inc.,236.15,NAN
Oracle Corporation,228.18,NAN
L'Oréal SA,225.24,NAN
Accenture plc,219.03,NAN
Comcast Corporation,218.90,NAN
Verizon Communications Inc.,216.68,NAN
Abbott Laboratories,215.02,NAN
"Nike, Inc.",213.60,NAN
BHP Group,211.25,NAN
"Merck & Co., Inc.",210.38,NAN
Danaher Corporation,208.03,NAN
Sea Limited,62.66,NAN
"Uber Technologies, Inc.",62.66,NAN
Moody's Corporation,62.58,NAN
Nintendo Co Ltd,62.20,NAN
Pioneer Natural Resources Company,62.19,NAN
Eaton Corporation plc,62.17,NAN
"Analog Devices, Inc.",62.00,NAN
"Fidelity National Information Services, Inc.",61.73,NAN
"Banco Santander, SA",61.67,NAN
Hapag-Lloyd AG,61.46,NAN
Adyen N.V.,61.11,NAN
Atlas Copco AB,60.97,NAN
CNOOC Limited,60.19,NAN
Nutrien Ltd.,60.06,NAN
"Block, Inc.",59.95,NAN
Deutsche Post AG,59.80,NAN
"NetEase, Inc.",59.76,NAN
Hong Kong Exchanges & Clearing Ltd,59.75,NAN
Capital One Financial Corporation,59.67,NAN
Emerson Electric Co.,59.66,NAN
"Palo Alto Networks, Inc.",59.65,NAN
Australia and New Zealand Banking Group Limited,59.55,NAN
Reckitt Benckiser Group plc,,NAN
Nongfu Spring Co. Ltd,59.50,NAN
Saudi Telecom Company,59.47,NAN
Southern Copper Corporation,59.46,NAN
Shenzhen Mindray Bio-Medical Electronics Co. Ltd,59.26,NAN
Vinci SA,59.01,NAN
"Workday, Inc.",58.70,NAN
RELX plc,58.53,NAN
Marvell Technology Group Ltd.,58.36,NAN
"Air Products and Chemicals, Inc.",57.82,NAN
Pernod Ricard SA,57.75,NAN
Schlumberger Limited,57.63,NAN
"Marvell Technology, Inc.",57.62,NAN
Itaú Unibanco Holding SA,57.45,NAN
Enterprise Products Partners L.P.,57.43,NAN
Foshan Haitian Flavouring and Food Company Ltd,57.40,NAN
Mitsubishi Corp,57.23,NAN
Canadian Imperial Bank of Commerce,57.20,NAN
"Marriott International, Inc.",57.18,NAN
Pinduoduo Inc.,57.09,NAN
IHS Markit Ltd.,,NAN
The Saudi National Bank,56.89,NAN
TC Energy Corporation,56.77,NAN
Humana Inc.,56.55,NAN
KLA Corporation,56.48,NAN
Bank of Communications Co. Ltd,56.38,NAN
Bayerische Motoren Werke AG,56.17,NAN
Macquarie Group Limited,55.99,NAN
Sony Group Corporation,126.64,NAN
Rio Tinto Group,125.84,NAN
