CompanyName,MarketCap,EmployeesTotalAmount
Apple,2062000000000,NAN
Saudi Aramco,1848000000000,NAN
Microsoft,1676000000000,NAN
Alphabet (Google),1137000000000,NAN
Amazon,878160000000,NAN
Berkshire Hathaway,702840000000,NAN
Johnson & Johnson,471260000000,NAN
Visa,461110000000,NAN
UnitedHealth,457830000000,NAN
Exxon Mobil,455190000000,NAN
Tencent,436090000000,NAN
TSMC,404870000000,NAN
JPMorgan Chase,404600000000,NAN
LVMH,400240000000,NAN
Walmart,395830000000,NAN
NVIDIA,370280000000,NAN
Procter & Gamble,364740000000,NAN
Tesla,357010000000,NAN
Mastercard,353500000000,NAN
Eli Lilly,344850000000,NAN
Chevron,341400000000,NAN
Meta Platforms (Facebook),340930000000,NAN
Kweichow Moutai,329340000000,NAN
Nestlé,326280000000,NAN
Home Depot,323620000000,NAN
Novo Nordisk,311970000000,NAN
Samsung,311550000000,NAN
AbbVie,294540000000,NAN
Merck,291160000000,NAN
Pfizer,285820000000,NAN
Alibaba,284340000000,NAN
Bank of America,276050000000,NAN
Coca-Cola,274170000000,NAN
Roche,258320000000,NAN
Pepsico,249500000000,NAN
Broadcom,245890000000,NAN
ASML,240640000000,NAN
Oracle,230960000000,NAN
AstraZeneca,219450000000,NAN
ICBC,214970000000,NAN
Costco,214260000000,NAN
Thermo Fisher Scientific,209820000000,NAN
Reliance Industries,207930000000,NAN
Shell,206370000000,NAN
L'Oréal,203250000000,NAN
Novartis,199600000000,NAN
Cisco,198500000000,NAN
McDonald,197360000000,NAN
Abbott Laboratories,195850000000,NAN
Nike,194830000000,NAN
Toyota,191820000000,NAN
T-Mobile US,184840000000,NAN
Danaher,183800000000,NAN
Verizon,177190000000,NAN
Hermès,175670000000,NAN
Walt Disney,171270000000,NAN
Accenture,169660000000,NAN
BHP Group,167110000000,NAN
Nextera Energy,166220000000,NAN
Comcast,163810000000,NAN
Wells Fargo,163080000000,NAN
China Construction Bank,161340000000,NAN
Philip Morris,160430000000,NAN
Texas Instruments,158970000000,NAN
Charles Schwab,157810000000,NAN
Linde,155720000000,NAN
Bristol-Myers Squibb,155200000000,NAN
United Parcel Service,154770000000,NAN
Adobe,154690000000,NAN
Prosus,153640000000,NAN
TotalEnergies,153350000000,NAN
Raytheon Technologies,150620000000,NAN
CATL,150080000000,NAN
China Mobile,149060000000,NAN
Morgan Stanley,147980000000,NAN
ConocoPhillips,147320000000,NAN
Amgen,146840000000,NAN
Agricultural Bank of China,146200000000,NAN
Meituan,144720000000,NAN
Tata Consultancy Services,142350000000,NAN
CM Bank,142160000000,NAN
Dior,142000000000,NAN
Honeywell,141360000000,NAN
Salesforce,140500000000,NAN
Netflix,140420000000,NAN
AT&T,139190000000,NAN
HSBC,137020000000,NAN
Royal Bank Of Canada,135090000000,NAN
AIA,132370000000,NAN
Ping An Insurance,132050000000,NAN
Union Pacific Corporation,130340000000,NAN
Unilever,129930000000,NAN
Caterpillar,129500000000,NAN
QUALCOMM,129290000000,NAN
Bank of China,129290000000,NAN
IBM,128800000000,NAN
SAP,127660000000,NAN
Deere & Company,127180000000,NAN
Boeing,126940000000,NAN
PetroChina,126620000000,NAN
China Life Insurance,125360000000,NAN
Anheuser-Busch Inbev,125300000000,NAN
HDFC Bank,125290000000,NAN
Lockheed Martin,124020000000,NAN
Sanofi,123030000000,NAN
Starbucks,122450000000,NAN
Lowe's Companies,121520000000,NAN
