CompanyName,MarketCap,EmployeesTotalAmount
Apple Inc.,2825000000000,NAN
Microsoft Corporation,2328000000000,NAN
Saudi Arabian Oil Company,2297000000000,NAN
Alphabet Inc.,1825000000000,NAN
"Amazon.com, Inc.",1642000000000,NAN
"Tesla, Inc.",1016000000000,NAN
Berkshire Hathaway Inc.,798470000000,NAN
Nvidia Corporation,660380000000,NAN
"Meta Platforms, Inc.",617500000000,NAN
Taiwan Semiconductor Manufacturing Company Limited,527890000000,NAN
UnitedHealth Group Incorporated,488520000000,NAN
Visa Inc.,486770000000,NAN
Johnson & Johnson,475930000000,NAN
Tencent Holdings Ltd,441170000000,NAN
Walmart Inc.,429050000000,NAN
JPMorgan Chase & Co.,410840000000,NAN
The Procter & Gamble Company,384600000000,NAN
"Samsung Electronics Co., Ltd.",378350000000,NAN
"LVMH Moët Hennessy - Louis Vuitton, SE",359260000000,NAN
Mastercard Incorporated,358600000000,NAN
Bank of America Corporation,350840000000,NAN
Roche Holding AG,349500000000,NAN
Exxon Mobil Corporation,348720000000,NAN
Kweichow Moutai Co. Ltd,348220000000,NAN
"The Home Depot, Inc.",321470000000,NAN
Chevron Corporation,315130000000,NAN
Pfizer Inc.,300790000000,NAN
AbbVie Inc.,294270000000,NAN
Alibaba Group Holding Limited,290400000000,NAN
ASML Holding N.V.,274350000000,NAN
The Coca-Cola Company,273200000000,NAN
Eli Lilly and Company,273010000000,NAN
Broadcom Inc.,265270000000,NAN
Costco Wholesale Corporation,258150000000,NAN
Novo Nordisk A/S,257240000000,NAN
Industrial & Commercial Bank of China Ltd,250370000000,NAN
The Walt Disney Company,247880000000,NAN
"PepsiCo, Inc.",241050000000,NAN
"Cisco Systems, Inc.",238450000000,NAN
Thermo Fisher Scientific Inc.,236150000000,NAN
Oracle Corporation,228180000000,NAN
L'Oréal SA,225240000000,NAN
Accenture plc,219030000000,NAN
Comcast Corporation,218900000000,NAN
Verizon Communications Inc.,216680000000,NAN
Abbott Laboratories,215020000000,NAN
"Nike, Inc.",213600000000,NAN
BHP Group,211250000000,NAN
"Merck & Co., Inc.",210380000000,NAN
Danaher Corporation,208030000000,NAN
Shell plc,207680000000,NAN
