CompanyName,MarketCap,EmployeesTotalAmount
Apple,2.143,NAN
Saudi Aramco,1.878,NAN
Microsoft,1.783,NAN
Alphabet (Google),1.195,NAN
Amazon,1.000,NAN
Berkshire Hathaway,700.57,NAN
Visa,472.35,NAN
Exxon Mobil,465.98,NAN
Tencent,458.31,NAN
UnitedHealth,457.42,NAN
Johnson & Johnson,453.42,NAN
TSMC,450.14,NAN
LVMH,427.45,NAN
NVIDIA,421.12,NAN
JPMorgan Chase,419.47,NAN
Walmart,391.81,NAN
Tesla,386.50,NAN
Mastercard,361.04,NAN
Meta Platforms (Facebook),359.18,NAN
Kweichow Moutai,358.62,NAN
Procter & Gamble,357.54,NAN
Eli Lilly,343.60,NAN
Chevron,343.33,NAN
Nestlé,339.24,NAN
Home Depot,337.56,NAN
Samsung,331.69,NAN
Alibaba,310.68,NAN
Novo Nordisk,306.65,NAN
Merck,284.59,NAN
Bank of America,281.72,NAN
AbbVie,271.63,NAN
Pfizer,268.59,NAN
ASML,265.94,NAN
Coca-Cola,265.65,NAN
Roche,259.53,NAN
International Holding Company,242.29,NAN
Broadcom,241.95,NAN
Pepsico,241.42,NAN
Oracle,240.50,NAN
Thermo Fisher Scientific,228.97,NAN
AstraZeneca,222.25,NAN
ICBC,221.13,NAN
L'Oréal,219.77,NAN
Costco,215.31,NAN
Shell,208.24,NAN
Reliance Industries,203.52,NAN
Cisco,200.80,NAN
Nike,199.78,NAN
Danaher,199.18,NAN
Abbott Laboratories,197.91,NAN
McDonald,196.94,NAN
Novartis,195.87,NAN
Toyota,191.42,NAN
T-Mobile US,186.22,NAN
Hermès,184.59,NAN
Walt Disney,181.26,NAN
Accenture,177.81,NAN
Verizon,175.80,NAN
BHP Group,175.31,NAN
Wells Fargo,168.49,NAN
Comcast,168.31,NAN
Nextera Energy,168.27,NAN
Linde,164.56,NAN
China Construction Bank,164.36,NAN
Prosus,163.46,NAN
CATL,162.80,NAN
Texas Instruments,162.46,NAN
Adobe,160.10,NAN
TotalEnergies,160.03,NAN
Philip Morris,157.65,NAN
United Parcel Service,157.54,NAN
Morgan Stanley,154.91,NAN
Charles Schwab,154.90,NAN
China Mobile,154.54,NAN
Bristol-Myers Squibb,154.16,NAN
CM Bank,152.13,NAN
ConocoPhillips,151.36,NAN
Dior,151.16,NAN
Tata Consultancy Services,150.14,NAN
Agricultural Bank of China,149.59,NAN
Salesforce,149.50,NAN
Netflix,148.11,NAN
Honeywell,145.63,NAN
Raytheon Technologies,145.06,NAN
Amgen,144.98,NAN
HSBC,144.37,NAN
Ping An Insurance,143.44,NAN
AT&T,139.33,NAN
Royal Bank Of Canada,138.66,NAN
SAP,136.85,NAN
QUALCOMM,134.78,NAN
Caterpillar,134.50,NAN
PetroChina,133.87,NAN
Bank of China,133.02,NAN
AIA,131.92,NAN
Meituan,131.24,NAN
Union Pacific Corporation,131.09,NAN
China Life Insurance,130.76,NAN
IBM,130.76,NAN
Deere & Company,130.63,NAN
Unilever,130.24,NAN
Lowe's Companies,128.29,NAN
Boeing,127.61,NAN
Goldman Sachs,126.64,NAN
Commonwealth Bank,126.29,NAN
Rio Tinto,125.69,NAN
HDFC Bank,125.51,NAN
Anheuser-Busch Inbev,124.31,NAN
Intel,124.26,NAN
Sanofi,123.57,NAN
Starbucks,123.07,NAN
Siemens,122.91,NAN
Pinduoduo,122.64,NAN
Toronto Dominion Bank,120.80,NAN
S&P Global,119.81,NAN
Wuliangye Yibin,119.63,NAN
CVS Health,118.15,NAN
Lockheed Martin,117.88,NAN
American Express,116.38,NAN
Elevance Health,115.35,NAN
AMD,114.47,NAN
Jingdong Mall,113.48,NAN
BlackRock,112.91,NAN
Prologis,112.52,NAN
Deutsche Telekom,110.82,NAN
Intuit,110.46,NAN
American Tower,108.39,NAN
Gilead Sciences,108.20,NAN
TAQA,107.75,NAN
BP,107.46,NAN
Medtronic,107.19,NAN
BYD,106.16,NAN
Sony,105.95,NAN
Diageo,103.84,NAN
Keyence,103.07,NAN
Automatic Data Processing,101.78,NAN
Porsche,101.31,NAN
NTT (Nippon Telegraph & Telephone),100.55,NAN
Mitsubishi UFJ Financial,99.04,NAN
Airbus,98.71,NAN
Stryker Corporation,98.32,NAN
Equinor,98.03,NAN
Citigroup,96.68,NAN
CSL,96.40,NAN
Cigna,96.06,NAN
Allianz,95.92,NAN
Estee Lauder,95.34,NAN
Chubb,94.29,NAN
TJX Companies,94.20,NAN
Merck KGaA,94.03,NAN
Inditex,93.01,NAN
Applied Materials,92.83,NAN
Mondelez,91.57,NAN
Intuitive Surgical,91.49,NAN
LG Energy Solution,90.87,NAN
PayPal,90.60,NAN
Schneider Electric,89.68,NAN
Booking Holdings (Booking.com),89.26,NAN
General Electric,87.63,NAN
Glencore,87.42,NAN
Marsh & McLennan Companies,86.38,NAN
Analog Devices,86.06,NAN
British American Tobacco,85.85,NAN
Vale,85.43,NAN
EssilorLuxottica,85.34,NAN
Enbridge,84.62,NAN
Compagnie Financière Richemont,84.48,NAN
Canadian National Railway,83.84,NAN
ServiceNow,83.80,NAN
Al Rajhi Bank,83.11,NAN
Schlumberger,82.64,NAN
Air Liquide,82.56,NAN
Altria Group,81.75,NAN
China Shenhua Energy,81.09,NAN
Duke Energy,80.84,NAN
BNP Paribas,80.18,NAN
Volkswagen,80.00,NAN
Regeneron Pharmaceuticals,78.64,NAN
Progressive,78.18,NAN
Mercedes-Benz,77.97,NAN
Infosys,77.58,NAN
Vertex Pharmaceuticals,77.24,NAN
Sinopec,76.56,NAN
Southern Company,76.55,NAN
EOG Resources,76.04,NAN
SABIC,76.00,NAN
Target,75.76,NAN
ICICI Bank,75.59,NAN
Hindustan Unilever,75.10,NAN
Zoetis,75.00,NAN
Kering,74.48,NAN
Moderna,73.76,NAN
Canadian Pacific Railway,73.66,NAN
HCA Healthcare,73.18,NAN
Becton Dickinson,72.72,NAN
GlaxoSmithKline,72.42,NAN
U.S. Bancorp,72.42,NAN
Iberdrola,72.22,NAN
Illinois Tool Works,71.64,NAN
3M,71.58,NAN
China Tourism Group Duty Free,71.45,NAN
China Yangtze Power,71.17,NAN
Northrop Grumman,71.01,NAN
AXA,70.81,NAN
Zurich Insurance Group,70.78,NAN
Petrobras,70.69,NAN
Alpha Dhabi,70.46,NAN
National Australia Bank,69.52,NAN
Walmex,69.25,NAN
Air Products and Chemicals,69.12,NAN
Bank of Montreal,68.95,NAN
CSX Corporation,68.16,NAN
DBS Group,67.85,NAN
CNOOC,66.99,NAN
Equinix,66.80,NAN
Boston Scientific,66.64,NAN
Bank Central Asia,66.36,NAN
State Bank of India,66.23,NAN
SoftBank,66.18,NAN
PNC Financial Services,66.14,NAN
UBS,66.12,NAN
General Dynamics,65.97,NAN
Postal Savings Bank of China,65.92,NAN
BMW,65.62,NAN
Aon,65.60,NAN
Eaton,65.40,NAN
Crown Castle,65.32,NAN
Fiserv,65.12,NAN
Colgate-Palmolive,65.02,NAN
America Movil,64.92,NAN
Nongfu Spring,64.80,NAN
Lam Research,64.59,NAN
KDDI,64.56,NAN
Freeport-McMoRan,64.39,NAN
Sherwin-Williams,63.71,NAN
Enel,63.64,NAN
Canadian Natural Resources,63.56,NAN
Airbnb,63.55,NAN
Waste Management,63.29,NAN
CME Group,63.17,NAN
Truist Financial,63.11,NAN
ABB,62.67,NAN
Humana,62.20,NAN
Micron Technology,62.12,NAN
Vinci,61.90,NAN
Mindray,61.86,NAN
Investor AB,61.79,NAN
Scotiabank,61.61,NAN
Sumitomo Mitsui Financial Group,61.44,NAN
Blackstone Group,61.39,NAN
Bayer,61.01,NAN
Siemens Healthineers,60.88,NAN
Daiichi Sankyō,60.70,NAN
KKR & Co.,60.60,NAN
Charter Communications,60.47,NAN
Midea,60.25,NAN
Emirates Telecom (Etisalat Group),60.23,NAN
Intercontinental Exchange,60.11,NAN
Activision Blizzard,59.99,NAN
Southern Copper,59.57,NAN
KLA,59.52,NAN
Occidental Petroleum,59.36,NAN
The Saudi National Bank,59.23,NAN
Norfolk Southern,59.06,NAN
Hong Kong Exchanges & Clearing,59.00,NAN
Atlas Copco,58.92,NAN
Foshan Haitian Flavouring and Food,58.83,NAN
Uber,58.71,NAN
Safran,58.68,NAN
Housing Development Finance Corporation,58.33,NAN
Westpac Banking,58.29,NAN
Anglo American,58.17,NAN
China Telecom,58.05,NAN
NetEase,58.03,NAN
Moody's,57.62,NAN
Verbund AG,57.54,NAN
Heineken,57.26,NAN
Marathon Petroleum,57.14,NAN
Emerson,57.01,NAN
Fast Retailing,56.99,NAN
Pioneer Natural Resources,56.78,NAN
Santander,56.75,NAN
Industrial Bank,56.52,NAN
Thomson Reuters,56.47,NAN
MetLife,56.42,NAN
Enterprise Products,56.02,NAN
RELX,55.76,NAN
Bharti Airtel,55.70,NAN
ENI,55.40,NAN
Life Insurance Corporation of India (LIC),55.21,NAN
MercadoLibre,54.46,NAN
Pernod Ricard,54.25,NAN
McKesson,54.13,NAN
United Heavy Machinery,53.58,NAN
Vmware,53.41,NAN
Monster Beverage,53.29,NAN
Tokyo Electron,53.07,NAN
BASF,52.95,NAN
Reckitt Benckiser,52.50,NAN
Valero Energy,52.48,NAN
Dominion Energy,52.42,NAN
Dollar General,52.20,NAN
ANZ Bank,52.08,NAN
Kraft Heinz,51.96,NAN
General Motors,51.86,NAN
Deutsche Post,51.58,NAN
Dassault Systèmes,51.56,NAN
Shin-Etsu Chemical,51.37,NAN
Public Storage,51.22,NAN
Marriott International,51.20,NAN
Ford,51.14,NAN
O'Reilly Automotive,51.02,NAN
Adani Enterprises,50.78,NAN
Synopsys,50.75,NAN
Recruit,50.72,NAN
EDF (Electricité de France),50.67,NAN
Sempra Energy,50.55,NAN
Keurig Dr Pepper,50.54,NAN
Adani Total Gas,50.52,NAN
Saudi Telecom Company,50.47,NAN
ITC,50.44,NAN
Takeda Pharmaceutical,50.05,NAN
Bank of Communications,50.03,NAN
LONGi Green Energy Technology,49.78,NAN
ING,49.74,NAN
Stellantis,49.55,NAN
Shopify,49.47,NAN
Woodside Energy,49.02,NAN
London Stock Exchange,48.97,NAN
Nintendo,48.95,NAN
Hikvision,48.79,NAN
Munich RE (Münchener Rück),48.76,NAN
American Electric Power,48.73,NAN
Itaú Unibanco,48.71,NAN
Phillips 66,48.69,NAN
General Mills,48.64,NAN
Archer Daniels Midland (ADM),48.56,NAN
Macquarie,48.48,NAN
Edwards Lifesciences,48.41,NAN
Mitsubishi Corporation,48.33,NAN
First Abu Dhabi Bank,48.24,NAN
Oriental Land,48.22,NAN
Maaden,48.12,NAN
Daikin,48.11,NAN
Baidu,48.02,NAN
Fortescue,47.90,NAN
American International Group,47.85,NAN
Amphenol,47.82,NAN
Roper Technologies,47.82,NAN
SK Hynix,47.68,NAN
FedEx,47.60,NAN
Intesa Sanpaolo,47.34,NAN
Johnson Controls,47.26,NAN
Simon Property Group,46.99,NAN
Hess,46.92,NAN
Alimentation Couche-Tard,46.90,NAN
Universal Music Group,46.62,NAN
The Hershey Company,46.47,NAN
Agilent Technologies,46.45,NAN
National Grid,46.43,NAN
Cadence Design Systems,46.43,NAN
Samsung Biologics,46.42,NAN
Hitachi,46.28,NAN
Kimberly-Clark,46.17,NAN
Itōchū Shōji,45.79,NAN
Cintas,45.61,NAN
The Travelers Companies,45.44,NAN
Mitsui Bussan,45.36,NAN
Adyen,45.32,NAN
Bank Rakyat Indonesia,45.31,NAN
Snowflake,45.30,NAN
Aflac,45.29,NAN
CITIC Securities,45.28,NAN
Infineon,44.98,NAN
Foxconn (Hon Hai Precision Industry),44.90,NAN
Corteva,44.81,NAN
Bajaj Finance,44.78,NAN
Wanhua Chemical,44.73,NAN
Zijin Mining,44.70,NAN
S.F. Express,44.63,NAN
NXP Semiconductors,44.52,NAN
Motorola Solutions,44.47,NAN
AutoZone,44.45,NAN
East Money Information,44.41,NAN
Bayan Resources,44.25,NAN
Ecolab,43.98,NAN
Suncor Energy,43.76,NAN
Realty Income,43.70,NAN
Ping An Bank,43.67,NAN
Prudential,43.65,NAN
Kotak Mahindra Bank,43.62,NAN
Centene,43.62,NAN
Budweiser APAC,43.58,NAN
Banco Santander Brasil,43.57,NAN
Paychex,43.36,NAN
Autodesk,43.28,NAN
WuXi AppTec,43.23,NAN
Newmont,43.13,NAN
Exelon Corporation,43.10,NAN
Ferrari,43.03,NAN
OCBC Bank,42.99,NAN
Workday,42.95,NAN
Block,42.85,NAN
TC Energy,42.83,NAN
Ambev,42.77,NAN
BCE,42.58,NAN
DexCom,42.57,NAN
Nordea Bank,42.53,NAN
Kinder Morgan,42.36,NAN
Chipotle Mexican Grill,42.26,NAN
Tokio Marine,42.26,NAN
Trane Technologies,42.21,NAN
Naspers,42.03,NAN
Las Vegas Sands,42.00,NAN
Palo Alto Networks,41.98,NAN
YANGHE,41.89,NAN
Apollo Global Management,41.82,NAN
Sika,41.73,NAN
Mizuho Financial Group,41.68,NAN
Devon Energy,41.56,NAN
Banco Bilbao Vizcaya Argentaria,41.54,NAN
Constellation Brands,41.52,NAN
Biogen,41.47,NAN
Arthur J. Gallagher & Co.,41.44,NAN
Fidelity National Information Services,41.38,NAN
Ørsted,41.36,NAN
Ross Stores,41.32,NAN
Dow,41.29,NAN
IQVIA,41.26,NAN
Microchip Technology,41.20,NAN
Chugai Pharmaceutical,41.06,NAN
Jiangsu Hengrui Medicine,41.06,NAN
Compass Group,41.02,NAN
7-Eleven,41.02,NAN
Muyuan Foods,40.83,NAN
Parker-Hannifin,40.76,NAN
Adani Green Energy,40.74,NAN
Sysco,40.70,NAN
Lloyds Banking Group,40.54,NAN
Nucor,40.42,NAN
MSCI,40.39,NAN
Sun Hung Kai Properties,40.30,NAN
lululemon athletica,40.22,NAN
Anta Sports,40.03,NAN
Williams Companies,39.97,NAN
Lonza,39.95,NAN
Honda,39.89,NAN
IDEXX Laboratories,39.67,NAN
Bank of New York Mellon,39.63,NAN
Kuaishou Technology,39.62,NAN
CIBC,39.62,NAN
WuXi Biologics,39.57,NAN
Republic Services,39.46,NAN
TE Connectivity,39.41,NAN
Capital One,39.25,NAN
Volvo Group,39.24,NAN
Energy Transfer Partners,39.22,NAN
Nutrien,39.13,NAN
Xcel Energy,38.94,NAN
Cheniere Energy,38.91,NAN
Halliburton,38.73,NAN
Wesfarmers,38.50,NAN
Carrier,38.35,NAN
Maersk,38.22,NAN
Fortinet,38.17,NAN
LG Chem,38.03,NAN
Denso,37.83,NAN
Neste,37.82,NAN
Atlassian,37.81,NAN
Hapag-Lloyd,37.81,NAN
Xiaomi,37.76,NAN
UOB,37.55,NAN
L3Harris Technologies,37.53,NAN
Bank of China (Hong Kong),37.43,NAN
Dupont De Nemours,37.35,NAN
TransDigm,37.18,NAN
STMicroelectronics,37.17,NAN
Adani Transmission,37.17,NAN
Prudential Financial,37.16,NAN
Cenovus Energy,37.11,NAN
Haier Smart Home,37.05,NAN
Hilton Worldwide,37.02,NAN
MediaTek,37.00,NAN
Larsen & Toubro,36.96,NAN
Haleon,36.89,NAN
Allstate,36.85,NAN
Yum! Brands,36.68,NAN
HCL Technologies,36.52,NAN
Jardine Matheson,36.44,NAN
Alcon,36.28,NAN
Grupo México,36.27,NAN
Hoya,36.17,NAN
AIER Eye Hospital,35.96,NAN
Constellation Software,35.80,NAN
Paccar,35.70,NAN
Cummins,35.62,NAN
Barclays,35.55,NAN
NatWest Group,35.54,NAN
Manulife Financial,35.52,NAN
Ameriprise Financial,35.45,NAN
Arista Networks,35.33,NAN
BioNTech,35.20,NAN
Danone,35.07,NAN
Japan Tobacco,34.93,NAN
Crédit Agricole,34.87,NAN
Old Dominion Freight Line,34.84,NAN
ENGIE,34.75,NAN
Mettler-Toledo,34.72,NAN
Marvell Technology Group,34.69,NAN
Otis Worldwide,34.68,NAN
Electronic Arts,34.63,NAN
Barrick Gold,34.60,NAN
Murata Manufacturing (Murata Seisakusho),34.47,NAN
Asian Paints,34.41,NAN
