CompanyName,MarketCap,EmployeesTotalAmount
"Avis Budget Group, Inc.",18.12,"16,000"
Telefônica Brasil SA,20.19,"34,000"
East Japan Railway Company,22.78,"71,973"
Twilio Inc.,26.09,"7,867"
"Delta Electronics, Inc.",24.05,NAN
Power Corporation of Canada,21.48,"30,000"
"Expedia Group, Inc.",27.91,"14,800"
Croda International plc,19.22,"4,000"
"Coupang, Inc.",30.53,"68,000"
MPLX LP,35.27,"1,139"
NatWest Group plc,32.72,"58,735"
"DuPont de Nemours, Inc.",39.72,"28,000"
HP Inc.,43.90,"51,000"
"Honda Motor Co., Ltd.",49.11,"211,374"
Macquarie Group Limited,55.99,"17,209"
General Motors Company,62.69,"157,000"
Edwards Lifesciences Corporation,73.38,"15,700"
Zurich Insurance Group AG,73.58,"55,000"
Atlassian Corporation Plc,73.72,"7,388"
"The TJX Companies, Inc.",73.99,"270,000"
"Intercontinental Exchange, Inc.",74.17,"8,858"
Canadian Natural Resources Limited,74.78,"9,735"
Truist Financial Corporation,74.79,"50,283"
"Regeneron Pharmaceuticals, Inc.",74.91,"10,368"
"Gilead Sciences, Inc.",76.15,"14,400"
"Becton, Dickinson and Company",76.98,"75,000"
"The PNC Financial Services Group, Inc.",77.10,"57,668"
Lam Research Corporation,77.60,"16,300"
The Southern Company,78.38,"27,027"
China Petroleum & Chemical Corporation,78.39,"384,065"
China Yangtze Power Co. Ltd,78.42,"3,985"
Kering SA,78.66,"42,811"
Bank of Montreal,79.22,"43,863"
Tokyo Electron Ltd,79.62,"14,479"
U.S. Bancorp,80.16,"68,796"
EssilorLuxottica SA,80.49,"144,888"
Crown Castle International Corp. (REIT),80.92,"5,000"
National Australia Bank Limited,81.03,"32,741"
"HCA Healthcare, Inc.",82.60,"204,000"
Air Liquide SA,83.24,"66,400"
Shopify Inc.,83.80,"10,000"
Cigna Corporation,84.67,"72,226"
"Mitsubishi UFJ Financial Group, Inc.",85.03,"132,700"
"Micron Technology, Inc.",86.49,"43,000"
"Marsh & McLennan Companies, Inc.",87.16,"83,000"
CME Group Inc.,87.17,"3,480"
Glencore plc,87.31,"81,284"
Brookfield Asset Management Inc.,87.46,"150,000"
The Blackstone Group Inc.,87.64,"3,795"
Bank of Nova Scotia,87.76,"89,782"
Duke Energy Corporation,88.76,"27,605"
3M Company,88.77,"95,000"
CSL Limited,89.69,"25,000"
Zoetis Inc.,89.82,"12,100"
Vulcan International Corp,90.34,68
"JD.com, Inc.",90.46,"310,000"
"Mondelez International, Inc.",90.67,"79,000"
MERCK Kommanditgesellschaft auf Aktien,90.74,"60,334"
Deutsche Telekom AG,93.01,"216,528"
Schneider Electric SE,94.34,"166,025"
Enbridge Inc.,94.94,"10,900"
Canadian National Railway Company,94.96,"22,604"
Booking Holdings Inc.,95.02,"20,097"
China Shenhua Energy Company Ltd,95.34,"77,029"
BP plc,96.24,"60,000"
"Automatic Data Processing, Inc.",96.98,"56,000"
"MetLife, Inc.",62.69,"49,000"
Dassault Systèmes SE,62.75,"20,496"
PacifiCorp,62.87,"4,800"
Boston Scientific Corporation,63.08,"41,000"
FedEx Corporation,63.25,"384,000"
Shin-Etsu Chemical Co Ltd,63.43,"24,629"
