CompanyName,MarketCap,EmployeesTotalAmount
lvmh,409.480,150000
nestle ag,372.720,276000
roche holding ag,356.150,100920
asml holding,307.330,28000
prosus,254.550,23874
l'oreal,249.140,85392
accenture,234.500,699000
novo nordisk a/s,231.350,45971
novartis ag,201.260,104323
royal dutch shell,181.560,86000
astrazeneca,178.120,83100
hermes international,172.040,15417
linde ag,171.940,74207
sap se,162.540,107415
christian dior,143.380,128339
medtronic,141.390,90000
siemens,138.710,303000
totalenergies se,138.010,105476
unilever group,137.220,149000
volkswagen,134.250,662575
hsbc holdings,132.940,223448
sanofi,126.370,95442
diageo,123.290,28025
rio tinto group,116.980,49000
glaxosmithkline,110.320,99000
anheuser-busch inbev,109.500,164000
gazprom,108.150,473800
schneider electric,107.120,166025
airbus,105.090,125888
allianz se,103.280,150269
merck kgaa o.n.,102.500,58408
kering,101.130,38553
inditex (industria de diseno textil),98.655,144116
bp p.l.c.,97.619,60000
deutsche telekom ag,92.028,226291
bnp paribas,90.457,190000
equinor asa,89.918,21245
british american tobacco,89.470,55000
mercedec benz group ag,89.412,288481
essilor luxottica,89.047,151017
chubb,86.661,31000
swatch group ag,85.629,32424
compagnie financiere richemont sa,84.500,34760
air liquide,84.264,67000
sberbank of russia,83.756,285555
siemens healthineers ag,81.178,52000
enel,79.770,66438
deutsche post ag,78.472,571974
atlas copco ab,78.380,40000
investor ab (publ),77.328,20054
abb,76.037,105000
rosneft oil company,75.445,315000
adyen,75.414,1750
axa,74.588,96595
iberdrola,72.100,45000
dassault systemes,71.224,19789
glencore,70.870,134878
bayerische motoren werke (bmw),70.505,120726
novatek,69.387,16821
basf se,68.991,110302
a.p. moller - maersk a/s,68.834,80000
zurich insurance group ag,67.906,52930
eaton corporation,66.905,85947
ubs group ag,66.672,71551
stellantis n.v,64.800,189512
ferrari,62.961,4556
reckitt benckiser group,62.297,43000
banco santander,61.025,191189
ab volvo,60.845,95850
vinci,60.651,217731
pernod ricard,60.061,18500
anglo american,59.386,90000
infineon technologies ag,59.352,50288
pjsc lukoil,59.246,101000
nxp semiconductors,58.859,31000
relx,58.743,33500
lonza group,57.618,16218
ing group,56.183,57000
hapag-lloyd,55.995,14100
verbund ag,55.641,2980
sika ag,55.610,24848
open joint stock company omz,55.251,NAN
adidas,54.843,62285
bayer,54.460,99538
safran,54.377,76800
intesa sanpaolo,53.948,105615
london stock exchange group,53.536,24158
dsv panalpina,52.508,56000
national grid transco,52.115,23683
te connectivity,51.743,89000
eni s.p.a.,51.734,31495
biontech se,51.375,1941
lloyds banking group,51.001,61576
ihs markit,50.254,16000
nordea bank abp,49.607,28051
prudential,49.339,18687
eqt ab (publ),48.284,1160
f&c investment trust,6.537,NAN
barclays plc,47.535,83000
3i group,47.296,282
mmc norilsk nickel,47.226,75901
orsted a/s,46.812,6429
credit agricole,46.250,73037
givaudan sa,46.065,16842
aptiv,45.844,151000
stmicroelectronics,45.434,48254
trane technologies plc,44.959,37000
munchener ruckversicherungs-gesellschaft,43.178,39642
vodafone group,43.005,105000
spotify technology,42.828,6617
experian,42.818,17800
vonovia se,41.881,10622
banco bilbao vizcaya argentaria,41.592,110432
compass group,41.111,478070
crh plc,41.041,79200
danone,40.795,101911
hexagon ab (publ),40.645,20532
partners group holding ag,40.541,1519
alcon,39.766,23655
neste oyj,39.108,4825
capgemini se,38.876,289501
sartorius stedim biotech,38.531,9016
compagnie de saint-gobain,38.477,167552
ferguson,38.468,34352
kuehne + nagel international ag,38.466,78249
kbc group nv,38.016,33916
natwest group,37.790,59900
ericsson,37.525,101322
dsm,37.187,23127
edf (electricite de france),37.063,20477
kone oyj,36.770,61380
ashtead group,36.701,19386
dnb asa,36.683,9200
engie,36.436,171000
henkel ag,35.831,52600
unicredit,35.779,90836
nokia corporation,35.653,87927
sandvik ab,35.192,37125
ahold delhaize,35.061,232000
e.on se,34.939,78126
coloplast a/s,34.558,12568
cellnex telecom,34.194,2877
assa abloy ab (publ),33.270,48000
philips,33.230,81592
assicurazioni generali,33.226,72644
lyondellbasell industries,32.483,19200
software aktiengesellschaft,2.888,NAN
holcim ltd,32.100,67409
h & m hennes & mauritz ab,32.080,153000
amadeus it group,31.937,19000
arcelormittal,31.726,167743
straumann holding ag,31.426,7340
porsche automobil holding se,31.386,916
societe generale,31.344,152050
naturgy energy group,31.139,10540
michelin,31.126,117500
legrand sa,31.083,36726
chocoladefabriken lindt & sprungli ag,31.017,13500
skandinaviska enskilda banken ab (publ.),30.552,15500
deutsche borse,30.349,7238
tesco,30.115,367321
nibe industrier ab (publ),29.791,18700
swiss re,29.683,13189
deutsche bank,29.519,84512
epiroc ab (publ),29.023,13840
swisscom ag,28.912,19062
willis towers watson public company,28.854,46600
geberit ag,28.741,11908
wolters kluwer,28.489,19169
orange s.a,28.197,142150
vestas wind systems a/s,28.082,29378
schindler holding ag,28.054,66674
evolution gaming group ab (publ),27.955,5054
sampo oyj,27.885,9813
kerry group,27.278,26000
fresenius se,27.032,311269
flutter entertainment,26.926,14802
heineken holding,26.890,84000
rwe,26.492,19498
coca-cola europacific partners plc,26.436,33200
ryanair holdings,26.286,15016
fortum oyj,26.201,19933
teleperformance se,26.036,383233
ems-chemie holding ag,25.924,2653
veolia environnement,25.903,171450
telefonica sa,25.322,114042
kingspan group,25.068,15500
legal & general group,24.974,13876
aena s.m.e,24.610,8771
carlsberg a/s,24.428,40010
credit suisse group,24.376,48770
delivery hero se,24.268,22000
sgs sa,24.206,94000
ingersoll-rand (ireland),24.170,15900
investment ab latour (publ),24.169,NAN
caixabank,24.065,36597
bae systems,24.023,90500
bt group,23.734,99700
genmab a/s,23.695,781
hannover ruck se,23.677,3073
sse plc,23.668,12489
scottish mortgage investment trust,23.531,NAN
steris,23.486,13000
endesa,23.401,9591
enbw energie baden-wurttemberg ag,23.389,23293
beiersdorf,23.055,20465
sonova holding ag,23.019,14508
swedbank ab (publ),22.817,17373
essity ab (publ),22.550,46000
icon public company,22.366,37960
horizon therapeutics public company,22.265,1395
aviva,22.112,31700
svenska handelsbanken ab (publ),22.068,22000
associated british foods,22.066,128000
continental ag,21.978,236386
pjsc polyus,21.976,20000
telenor asa,21.969,18000
segro,21.946,355
ferrovial,21.934,18515
novozymes a/s,21.906,6527
cnh industrial,21.872,64016
eurofins scientific se,21.550,55000
edp renovaveis,21.292,1566
imperial brands,21.145,30300
upm-kymmene oyj,20.972,17512
nexi,20.896,1996
akzo nobel,20.741,32200
ucb sa,20.612,8006
tcs group holding,20.605,528748
edp - energias de portugal,20.438,12236
standard chartered,20.378,84740
exor,20.374,268979
omv group,20.210,25391
cez a. s,20.163,27200
erste group bank ag,19.926,44596
swiss life holding ag,19.922,9823
symrise ag,19.804,10531
