CompanyName,MarketCap,EmployeesTotalAmount
Apple,Samsung,"100,000"
Microsoft,Oracle,"181,000"
Aramco,ExxonMobil,NAN
Alphabet,Meta,"156,500"
Amazon,Alibaba,"1,608,000"
Tesla,Volkswagen,"99,290"
Berkshire Hathaway,Grupo Elektra SAB DE CV,"372,000"
Nvidia,TSMC,"22,473"
Meta,Alphabet,"71,970"
TSMC,Nvidia,"54,193"
UnitedHealth Group,CVS Health,"350,000"
Visa,Mastercard,"21,500"
Johnson & Johnson,Roche,"141,700"
Tencent,Alphabet,"112,771"
Walmart,Costco,"2,300,000"
JPMorgan,Bank of America,"271,025"
Procter & Gamble,L'Oréal,"101,000"
Samsung,Apple,NAN
LVMH,Hermès,"148,343"
Mastercard,Visa,"24,000"
Bank of America,JPMorgan,"208,000"
Roche,Johnson & Johnson,"100,920"
ExxonMobil,Aramco,"63,000"
Kweichow Moutai,Diageo plc,"29,031"
Home Depot,Lowe's,"490,600"
Chevron,Aramco,"42,595"
Pfizer,Johnson & Johnson,"79,000"
AbbVie,Johnson & Johnson,"50,000"
Alibaba,Amazon,"259,316"
ASML,Applied Materials,"29,861"
Coca-Cola,PepsiCo,"79,000"
Lilly,Johnson & Johnson,"35,000"
Broadcom,Nvidia,"20,000"
Costco,Walmart,"288,000"
Novo Nordisk,CSL Limited,"47,792"
ICBC,JPMorgan,"439,787"
Disney,Comcast,"152,000"
PepsiCo,Coca-Cola,"309,000"
Cisco,"Motorola Solutions, Inc.","79,500"
Thermo Fisher Scientific,Danaher,"130,000"
Oracle,Microsoft,"132,000"
L'Oréal,Procter & Gamble,"85,400"
Accenture,International Business Machines Corporation,"699,000"
Comcast,Disney,"189,000"
Verizon,AT&T,"118,400"
Abbott,Medtronic,"113,000"
Nike,adidas AG,"73,300"
BHP,Rio Tinto,"40,110"
Merck,Johnson & Johnson,"67,000"
Danaher,Thermo Fisher Scientific,"78,000"
Shell,Aramco,"87,000"
Novartis,Johnson & Johnson,"104,323"
AstraZeneca,Johnson & Johnson,"83,100"
Intel,Nvidia,"121,100"
Wells Fargo,JPMorgan,"247,848"
Adobe,Microsoft,"25,988"
Salesforce,SAP,"73,541"
UPS,FedEx Corporation,"267,890"
China Construction Bank,JPMorgan,"373,814"
McDonald's,Starbucks,"100,000"
China Merchants Bank,JPMorgan,"103,669"
CATL,ABB Ltd,"33,078"
Union Pacific,Canadian National Railway Company,"29,905"
AT&T,Verizon,"203,000"
Qualcomm,Nvidia,"45,000"
Texas Instruments,Nvidia,"31,000"
Bristol Myers Squibb,Johnson & Johnson,"32,200"
Prosus,Alphabet,"23,939"
Linde,The Sherwin-Williams Company,"72,327"
NextEra Energy,Duke Energy Corporation,"15,000"
Agricultural Bank of China,JPMorgan,"459,000"
T-Mobile US,Verizon,"75,000"
Morgan Stanley,Schwab,"75,000"
Netflix,Disney,"11,300"
RBC,JPMorgan,"85,211"
Schwab,Morgan Stanley,"33,400"
Philip Morris,"Altria Group, Inc.","69,600"
Medtronic,Abbott,"90,000"
Raytheon Technologies,Lockheed Martin Corporation,"174,000"
American Express,Visa,"64,000"
Hermès,LVMH,"17,595"
TD Bank,JPMorgan,"90,000"
PetroChina,Aramco,"432,003"
CommBank,JPMorgan,"47,532"
Lowe's,Home Depot,"300,000"
Amgen,Johnson & Johnson,"24,200"
Bank of China,JPMorgan,"309,084"
HSBC,JPMorgan,"219,697"
China Mobile,Verizon,"449,934"
TotalEnergies,Aramco,"105,476"
Honeywell,Siemens,"99,000"
ConocoPhillips,Canadian Natural Resources Limited,"9,900"
CVS Health,UnitedHealth Group,"216,000"
Ping An Insurance,AIA Group,"355,982"
SAP,Salesforce,"107,415"
PayPal,Visa,"30,900"
Sanofi,Johnson & Johnson,"95,442"
John Deere,Caterpillar Inc.,"75,550"
AMD,Nvidia,"15,500"
Intuit,Salesforce,"13,500"
Sony,Apple,"109,700"
Rio Tinto,BHP,"49,000"
AIA Group,Ping An Insurance,"23,000"
Lockheed Martin Corporation,Raytheon Technologies,"114,000"
Caterpillar Inc.,John Deere,"107,700"
Anheuser-Busch InBev SA/NV,Heineken N.V.,"169,339"
Equinor ASA,Aramco,"21,126"
Dior,LVMH,"119,243"
Prologis,Public Storage,"2,053"
Applied Materials,ASML,"28,500"
"Anthem, Inc.",UnitedHealth Group,"98,200"
International Business Machines Corporation,Accenture,"282,100"
Unilever,Procter & Gamble,"148,012"
BlackRock,The Blackstone Group Inc.,"18,400"
HDFC Bank,JPMorgan,"134,412"
Diageo plc,Kweichow Moutai,"27,783"
American Tower,Crown Castle International Corp. (REIT),"6,378"
Siemens,Honeywell,"303,000"
Meituan,Amazon,"69,205"
Keyence,Hexagon AB,"8,380"
"The Goldman Sachs Group, Inc.",Morgan Stanley,"43,900"
Transurban Group,"Ferrovial, SA",672
"Industria de Diseño Textil, SA","The TJX Companies, Inc.","104,431"
The Boeing Company,Raytheon Technologies,"142,000"
GlaxoSmithKline plc,Johnson & Johnson,"90,096"
Citigroup Inc.,JPMorgan,"220,092"
Volkswagen,Tesla,"645,318"
Starbucks,McDonald's,"383,000"
Vale SA,BHP,NAN
"ServiceNow, Inc.",Salesforce,"16,881"
Target Corporation,Walmart,"450,000"
Infosys Limited,Accenture,"292,067"
Al Rajhi Banking and Investment Corp,JPMorgan,"15,078"
"Airbnb, Inc.",Alphabet,"6,132"
Charter Communications,Disney,"93,700"
BYD Company,Tesla,"224,280"
