CompanyName,MarketCap,EmployeesTotalAmount
APPLE,2825.000,154000
MICROSOFT CORPORATION,2358.000,220000
SAUDI ARABIAN OIL COMPANY (Saudi Aramco),1889.600,79800
ALPHABET,1820.000,156500
AMAZON.COM,1649.000,1335000
TESLA,1031.000,99290
META PLATFORMS,922.960,77805
BERKSHIRE HATHAWAY,711.750,372000
NVIDIA CORPORATION,679.000,18975
TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY (TSMC),640.480,65152
TENCENT,545.360,112771
J P MORGAN CHASE & CO,494.000,271025
VISA,471.630,21500
JOHNSON & JOHNSON,457.940,141700
SAMSUNG ELECTRONICS,438.840,113753
UNITEDHEALTH GROUP,431.930,350000
HOME DEPOT,411.020,500000
LVMH,409.480,150000
BANK OF AMERICA CORPORATION,402.490,208000
WALMART,401.910,2300000
PROCTER & GAMBLE COMPANY,393.820,101000
KWEICHOW MOUTAI,382.350,29031
NESTLE AG,372.720,276000
MASTERCARD,363.200,24000
ROCHE HOLDING AG,356.150,100920
ALIBABA GROUP HOLDING,351.900,251462
PFIZER,312.750,78500
ASML HOLDING,307.330,28000
EXXON MOBIL CORPORATION,291.610,64000
THE WALT DISNEY COMPANY,286.880,190000
TOYOTA MOTOR CORPORATION,276.740,366283
COCA-COLA COMPANY,260.590,80300
CISCO SYSTEMS,257.820,79500
BROADCOM,255.630,20000
PROSUS,254.550,23874
ICBC,252.550,434798
L'OREAL,249.140,85392
NIKE,248.460,73300
ELI LILLY AND COMPANY,248.240,35000
ADOBE,242.990,25988
CHEVRON CORPORATION,241.020,42595
PEPSICO,240.690,309000
ABBOTT LABORATORIES,239.710,113000
NETFLIX,239.660,12135
TATA GROUP,NAN,750000
THERMO FISHER SCIENTIFIC,239.220,130000
ABBVIE,238.450,50000
COSTCO WHOLESALE CORPORATION,237.760,288000
ACCENTURE,234.500,699000
ORACLE CORPORATION,233.690,132000
NOVO NORDISK A/S,231.350,45971
COMCAST CORPORATION,228.670,189000
VERIZON COMMUNICATIONS,227.690,118400
SALESFORCE.COM,224.880,56606
RELIANCE INDUSTRIES,220.760,236330
PAYPAL HOLDINGS,220.420,30900
WELLS FARGO & COMPANY,218.380,253871
INTEL CORPORATION,217.340,121100
DANAHER CORPORATION,211.280,78000
MERCK & CO,202.830,68000
QUALCOMM,202.060,45000
NOVARTIS AG,201.260,104323
CHINA MERCHANTS BANK,199.860,90867
MCDONALD'S CORPORATION,199.560,200000
CONTEMPORARY AMPEREX TECHNOLOGY,197.130,33078
TATA CONSULTANCY SERVICES (TCS),193.870,606331
UNITED PARCEL SERVICE (UPS),189.610,534000
AT&T,187.740,203000
MORGAN STANLEY,186.710,68097
CHINA CONSTRUCTION BANK CORPORATION,182.170,349671
ROYAL DUTCH SHELL,181.560,86000
ASTRAZENECA,178.120,83100
THE CHARLES SCHWAB CORPORATION,173.440,32000
HERMES INTERNATIONAL,172.040,15417
LINDE AG,171.940,74207
NEXTERA ENERGY,169.550,9700
LOWE'S COMPANIES,169.170,220000
TEXAS INSTRUMENTS,165.720,31000
UNION PACIFIC CORPORATION,163.790,32124
BHP GROUP,162.910,80000
SAP SE,162.540,107415
AGRICULTURAL BANK OF CHINA,160.760,459000
INTUIT,160.710,13500
MEITUAN DIANPING,160.510,58390
ROYAL BANK OF CANADA,159.750,85301
ADVANCED MICRO DEVICES (AMD),159.410,15500
SONY CORPORATION,156.010,109700
PHILIP MORRIS INTERNATIONAL,154.340,69900
PING AN INSURANCE (GROUP) COMPANY OF CHINA,150.120,362000
HONEYWELL INTERNATIONAL,148.530,99000
TORONTO-DOMINION BANK,144.320,89464
PETROCHINA COMPANY,143.700,476223
CHRISTIAN DIOR,143.380,128339
SHOPIFY,143.340,7000
KEYENCE CORPORATION,142.420,8380
MEDTRONIC,141.390,90000
BRISTOL-MYERS SQUIBB COMPANY,139.460,32200
SIEMENS,138.710,303000
TOTALENERGIES SE,138.010,105476
CVS HEALTH CORPORATION,137.540,295000
UNILEVER GROUP,137.220,149000
T-MOBILE US,137.070,75000
BANK OF CHINA,135.640,306322
BLACKROCK,135.550,16500
SCHWARZ GROUP,NAN,500000
RAYTHEON TECHNOLOGIES CORPORATION,135.370,174000
AMERICAN EXPRESS COMPANY,135.070,64000
VOLKSWAGEN,134.250,662575
APPLIED MATERIALS,134.000,27000
HSBC HOLDINGS,132.940,223448
THE GOLDMAN SACHS GROUP,132.600,43900
WULIANGYE YIBIN,132.390,26348
CITI GROUP,130.530,223400
CHINA MOBILE,130.510,454332
