CompanyName,MarketCap,EmployeesTotalAmount
APPLE,2510.000,NAN
MICROSOFT CORPORATION,2269.000,NAN
SAUDI ARABIAN OIL COMPANY (Saudi Aramco),1891.600,NAN
ALPHABET,1934.000,NAN
AMAZON.COM,1758.000,NAN
TESLA,737.020,NAN
META PLATFORMS,1070.000,NAN
BERKSHIRE HATHAWAY,646.790,NAN
NVIDIA CORPORATION,557.830,NAN
TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY (TSMC),617.200,NAN
TOYOTA MOTOR CORPORATION,244.750,NAN
COCA-COLA COMPANY,243.070,NAN
CISCO SYSTEMS,248.720,NAN
BROADCOM,203.990,NAN
PROSUS,283.050,NAN
ICBC,244.010,NAN
L'OREAL,262.430,NAN
NIKE,260.800,NAN
ELI LILLY AND COMPANY,247.070,NAN
ADOBE,316.190,NAN
TENCENT,609.440,NAN
J P MORGAN CHASE & CO,477.960,NAN
VISA,502.740,NAN
JOHNSON & JOHNSON,455.760,NAN
SAMSUNG ELECTRONICS,444.460,NAN
UNITEDHEALTH GROUP,392.510,NAN
HOME DEPOT,345.210,NAN
LVMH,380.100,NAN
BANK OF AMERICA CORPORATION,351.320,NAN
WALMART,415.000,NAN
PROCTER & GAMBLE COMPANY,345.770,NAN
KWEICHOW MOUTAI,305.700,NAN
NESTLE AG,348.550,NAN
MASTERCARD,341.650,NAN
ROCHE HOLDING AG,350.650,NAN
ALIBABA GROUP HOLDING,453.300,NAN
PFIZER,258.300,NAN
ASML HOLDING,341.360,NAN
EXXON MOBIL CORPORATION,230.810,NAN
THE WALT DISNEY COMPANY,329.450,NAN
QUALCOMM,165.470,NAN
NOVARTIS AG,206.760,NAN
CHINA MERCHANTS BANK,198.770,NAN
MCDONALD'S CORPORATION,177.340,NAN
CONTEMPORARY AMPEREX TECHNOLOGY,170.700,NAN
TATA CONSULTANCY SERVICES (TCS),195.160,NAN
UNITED PARCEL SERVICE (UPS),170.400,NAN
AT&T,195.780,NAN
MORGAN STANLEY,190.540,NAN
CHINA CONSTRUCTION BANK CORPORATION,186.030,NAN
ROYAL DUTCH SHELL,155.530,NAN
ASTRAZENECA,181.450,NAN
THE CHARLES SCHWAB CORPORATION,137.540,NAN
HERMES INTERNATIONAL,155.710,NAN
LINDE AG,162.340,NAN
NEXTERA ENERGY,164.770,NAN
LOWE'S COMPANIES,141.940,NAN
TEXAS INSTRUMENTS,176.730,NAN
UNION PACIFIC CORPORATION,141.410,NAN
BHP GROUP,167.240,NAN
CHEVRON CORPORATION,187.140,NAN
PEPSICO,216.150,NAN
ABBOTT LABORATORIES,224.030,NAN
NETFLIX,251.920,NAN
TATA GROUP,NAN,NAN
THERMO FISHER SCIENTIFIC,219.270,NAN
ABBVIE,213.440,NAN
COSTCO WHOLESALE CORPORATION,201.360,NAN
ACCENTURE,213.430,NAN
ORACLE CORPORATION,249.740,NAN
SAP SE,178.440,NAN
TORONTO-DOMINION BANK,118.220,NAN
PETROCHINA COMPANY,128.700,NAN
CHRISTIAN DIOR,139.230,NAN
AGRICULTURAL BANK OF CHINA,160.550,NAN
INTUIT,154.690,NAN
MEITUAN DIANPING,201.890,NAN
ROYAL BANK OF CANADA,146.400,NAN
ADVANCED MICRO DEVICES (AMD),134.300,NAN
SONY CORPORATION,129.060,NAN
PHILIP MORRIS INTERNATIONAL,160.530,NAN
PING AN INSURANCE (GROUP) COMPANY OF CHINA,145.860,NAN
HONEYWELL INTERNATIONAL,160.110,NAN
SHOPIFY,190.100,NAN
KEYENCE CORPORATION,148.070,NAN
MEDTRONIC,179.590,NAN
BRISTOL-MYERS SQUIBB COMPANY,148.570,NAN
SIEMENS,131.560,NAN
TOTALENERGIES SE,117.070,NAN
CVS HEALTH CORPORATION,114.000,NAN
NOVO NORDISK A/S,229.040,NAN
COMCAST CORPORATION,278.500,NAN
VERIZON COMMUNICATIONS,227.710,NAN
SALESFORCE.COM,259.700,NAN
RELIANCE INDUSTRIES,214.910,NAN
PAYPAL HOLDINGS,339.180,NAN
WELLS FARGO & COMPANY,187.660,NAN
INTEL CORPORATION,219.320,NAN
DANAHER CORPORATION,231.420,NAN
MERCK & CO,193.120,NAN
UNILEVER GROUP,145.300,NAN
T-MOBILE US,172.090,NAN
BANK OF CHINA,129.970,NAN
BLACKROCK,144.120,NAN
SCHWARZ GROUP,103,NAN
RAYTHEON TECHNOLOGIES CORPORATION,127.810,NAN
AMERICAN EXPRESS COMPANY,131.840,NAN
VOLKSWAGEN,147.140,NAN
APPLIED MATERIALS,122.010,NAN
HSBC HOLDINGS,108.530,NAN
THE GOLDMAN SACHS GROUP,139.390,NAN
WULIANGYE YIBIN,120.940,NAN
CITI GROUP,145.750,NAN
CHINA MOBILE,127.770,NAN
AMGEN,128.070,NAN
YOUTUBE,113,NAN
ESTEE LAUDER COMPANIES,123.020,NAN
BOEING COMPANY,128.660,NAN
SANOFI,130.900,NAN
STARBUCKS CORPORATION,138.530,NAN
COMMONWEALTH BANK OF AUSTRALIA,132.470,NAN
AIA GROUP,147.550,NAN
DIAGEO,112.110,NAN
AMERICAN TOWER CORPORATION (REIT),133.740,NAN
CATERPILLAR,115.440,NAN
IBM,125.790,NAN
RIO TINTO GROUP,121.550,NAN
DEERE & COMPANY,118.130,NAN
INTUITIVE SURGICAL,125.360,NAN
HDFC BANK,121.600,NAN
PROLOGIS,99.902,NAN
SERVICENOW,127.500,NAN
GENERAL ELECTRIC COMPANY,115.700,NAN
TARGET CORPORATION,120.540,NAN
GLAXOSMITHKLINE,102.500,NAN
CHINA LIFE INSURANCE COMPANY,105.170,NAN
ANHEUSER-BUSCH INBEV,123.700,NAN
CHARTER COMMUNICATIONS,150.120,NAN
GAZPROM,102.610,NAN
S&P GLOBAL,106.960,NAN
SCHNEIDER ELECTRIC,100.250,NAN
INGRAM MICRO,139,NAN
VANGUARD GROUP,NAN,NAN
CONOCOPHILLIPS COMPANY,74.359,NAN
JD.COM,122.680,NAN
MICRON TECHNOLOGY,82.968,NAN
ANTHEM,91.462,NAN
AIRBNB,97.433,NAN
AIRBUS,108.800,NAN
KOCH INDUSTRIES,145,NAN
BYTEDANCE,145,NAN
SEA LIMITED,181.990,NAN
3M COMPANY,112.680,NAN
ALLIANZ SE,97.559,NAN
INFOSYS,101.040,NAN
MERCK KGAA O.N.,103.430,NAN
NIPPON TELEGRAPH AND TELEPHONE CORPORATION,98.171,NAN
NTT DOCOMO,97.019,NAN
KERING,101.460,NAN
AUTOMATIC DATA PROCESSING (ADP),88.441,NAN
BOOKING HOLDINGS,94.424,NAN
ZOETIS,97.222,NAN
STRYKER CORPORATION,104.490,NAN
LOCKHEED MARTIN CORPORATION,100.260,NAN
INDITEX (INDUSTRIA DE DISENO TEXTIL),106.260,NAN
FORD MOTOR COMPANY,52.052,NAN
BP P.L.C.,83.106,NAN
CSL,104.100,NAN
AL RAJHI BANKING AND INVESTMENT CORPORATION,81.675,NAN
ROBERT BOSCH,163,NAN
THE PNC FINANCIAL SERVICES GROUP,81.216,NAN
SAUDI BASIC INDUSTRIES CORPORATION (SABIC),99.468,NAN
LAM RESEARCH CORPORATION,85.857,NAN
MONDELEZ INTERNATIONAL,86.888,NAN
BYD COMPANY,111.350,NAN
DEUTSCHE TELEKOM AG,100.940,NAN
SNOWFLAKE,90.118,NAN
ALTRIA GROUP,92.628,NAN
AUDI AG,82.150,NAN
DELOITTE,171,NAN
BNP PARIBAS,81.165,NAN
U.S. BANCORP,85.088,NAN
GENERAL MOTORS COMPANY,71.149,NAN
CARGILL,174,NAN
RECRUIT HOLDINGS,96.041,NAN
BROOKFIELD ASSET MANAGEMENT,87.110,NAN
EQUINOR ASA,69.062,NAN
BRITISH AMERICAN TOBACCO,86.485,NAN
MERCEDEC BENZ GROUP AG,89.843,NAN
GILEAD SCIENCES,91.252,NAN
ESSILOR LUXOTTICA,87.399,NAN
THE TJX COMPANIES,87.449,NAN
ANALOG DEVICES,87.571,NAN
BANK OF NOVA SCOTIA,75.020,NAN
TOKYO ELECTRON LIMITED,67.213,NAN
CANADIAN NATIONAL RAILWAY COMPANY,83.116,NAN
TRUIST FINANCIAL CORPORATION,76.165,NAN
MODERNA,152.050,NAN
CHUBB,80.693,NAN
SWATCH GROUP AG,72.635,NAN
MIDEA GROUP,72.414,NAN
SHERWIN-WILLIAMS COMPANY,79.957,NAN
PRICEWATERHOUSECOOPERS,193,NAN
COMPAGNIE FINANCIERE RICHEMONT SA,62.283,NAN
AIR LIQUIDE,84.795,NAN
CROWN CASTLE INTERNATIONAL CORPORATION,84.373,NAN
SBERBANK OF RUSSIA,101.810,NAN
CSX CORPORATION,73.339,NAN
BLACKSTONE GROUP,89.938,NAN
ALLERGAN,200,NAN
MARSH & MCLENNAN COMPANIES,79.642,NAN
PUBLIX,200,NAN
ENBRIDGE,79.749,NAN
SOFTBANK GROUP,111.870,NAN
SIEMENS HEALTHINEERS AG,78.575,NAN
CME GROUP,72.445,NAN
UBER TECHNOLOGIES,73.753,NAN
DUKE ENERGY CORPORATION,80.519,NAN
NATIONAL COMMERCIAL BANK,73.057,NAN
LIFE INSURANCE CORPORATION OF INDIA,NAN,NAN
ENEL,93.913,NAN
PSBC (POSTAL SAVINGS BANK OF CHINA),73.135,NAN
CHINA YANGTZE POWER,67.612,NAN
MITSUBISHI UFJ FINANCIAL GROUP,70.953,NAN
DEUTSCHE POST AG,86.161,NAN
RELIANCE JIO,NAN,NAN
HCA HEALTHCARE,80.990,NAN
ATLAS COPCO AB,81.730,NAN
CHINA PETROLEUM & CHEMICAL CORPORATION (SINOPEC),74.987,NAN
INVESTOR AB (PUBL),76.632,NAN
CIGNA CORPORATION,71.984,NAN
ILLINOIS TOOL WORKS,73.343,NAN
ATLASSIAN CORPORATION,92.469,NAN
EDWARDS LIFESCIENCES CORPORATION,73.042,NAN
HINDUSTAN UNILEVER,89.838,NAN
