CompanyName,MarketCap,EmployeesTotalAmount
APPLE,2825.00,"154,000"
MICROSOFT CORPORATION,2358.00,"220,000"
SAUDI ARABIAN OIL COMPANY (Saudi Aramco),1889.60,"79,800"
ALPHABET,1820.00,"156,500"
AMAZON.COM,1649.00,"1,335,000"
TESLA,1031.00,"99,290"
META PLATFORMS,922.96,"77,805"
BERKSHIRE HATHAWAY,711.75,"372,000"
NVIDIA CORPORATION,679.00,"18,975"
TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY (TSMC),640.48,"65,152"
TENCENT,545.36,"112,771"
J P MORGAN CHASE & CO,494.00,"271,025"
VISA,471.63,"21,500"
JOHNSON & JOHNSON,457.94,"141,700"
SAMSUNG ELECTRONICS,438.84,"113,753"
UNITEDHEALTH GROUP,431.93,"350,000"
HOME DEPOT,411.02,"500,000"
LVMH,409.48,"150,000"
BANK OF AMERICA CORPORATION,402.49,"208,000"
WALMART,401.91,"2,300,000"
PROCTER & GAMBLE COMPANY,393.82,"101,000"
KWEICHOW MOUTAI,382.35,"29,031"
NESTLE AG,372.72,"276,000"
MASTERCARD,363.20,"24,000"
ROCHE HOLDING AG,356.15,"100,920"
ALIBABA GROUP HOLDING,351.90,"251,462"
PFIZER,312.75,"78,500"
ASML HOLDING,307.33,"28,000"
EXXON MOBIL CORPORATION,291.61,"64,000"
THE WALT DISNEY COMPANY,286.88,"190,000"
TOYOTA MOTOR CORPORATION,276.74,"366,283"
COCA-COLA COMPANY,260.59,"80,300"
CISCO SYSTEMS,257.82,"79,500"
BROADCOM,255.63,"20,000"
PROSUS,254.55,"23,874"
ICBC,252.55,"434,798"
L'OREAL,249.14,"85,392"
NIKE,248.46,"73,300"
ELI LILLY AND COMPANY,248.24,"35,000"
ADOBE,242.99,"25,988"
CHEVRON CORPORATION,241.02,"42,595"
PEPSICO,240.69,"309,000"
ABBOTT LABORATORIES,239.71,"113,000"
NETFLIX,239.66,"12,135"
TATA GROUP,NAN,"750,000"
THERMO FISHER SCIENTIFIC,239.22,"130,000"
ABBVIE,238.45,"50,000"
COSTCO WHOLESALE CORPORATION,237.76,"288,000"
ACCENTURE,234.50,"699,000"
ORACLE CORPORATION,233.69,"132,000"
NOVO NORDISK A/S,231.35,"45,971"
COMCAST CORPORATION,228.67,"189,000"
VERIZON COMMUNICATIONS,227.69,"118,400"
SALESFORCE.COM,224.88,"56,606"
RELIANCE INDUSTRIES,220.76,"236,330"
PAYPAL HOLDINGS,220.42,"30,900"
WELLS FARGO & COMPANY,218.38,"253,871"
INTEL CORPORATION,217.34,"121,100"
DANAHER CORPORATION,211.28,"78,000"
MERCK & CO,202.83,"68,000"
QUALCOMM,202.06,"45,000"
NOVARTIS AG,201.26,"104,323"
CHINA MERCHANTS BANK,199.86,"90,867"
MCDONALD'S CORPORATION,199.56,"200,000"
CONTEMPORARY AMPEREX TECHNOLOGY,197.13,"33,078"
TATA CONSULTANCY SERVICES (TCS),193.87,"606,331"
UNITED PARCEL SERVICE (UPS),189.61,"534,000"
AT&T,187.74,"203,000"
MORGAN STANLEY,186.71,"68,097"
CHINA CONSTRUCTION BANK CORPORATION,182.17,"349,671"
ROYAL DUTCH SHELL,181.56,"86,000"
ASTRAZENECA,178.12,"83,100"
THE CHARLES SCHWAB CORPORATION,173.44,"32,000"
HERMES INTERNATIONAL,172.04,"15,417"
LINDE AG,171.94,"74,207"
NEXTERA ENERGY,169.55,"9,700"
LOWE'S COMPANIES,169.17,"220,000"
TEXAS INSTRUMENTS,165.72,"31,000"
UNION PACIFIC CORPORATION,163.79,"32,124"
BHP GROUP,162.91,"80,000"
SAP SE,162.54,"107,415"
AGRICULTURAL BANK OF CHINA,160.76,"459,000"
INTUIT,160.71,"13,500"
MEITUAN DIANPING,160.51,"58,390"
ROYAL BANK OF CANADA,159.75,"85,301"
ADVANCED MICRO DEVICES (AMD),159.41,"15,500"
SONY CORPORATION,156.01,"109,700"
PHILIP MORRIS INTERNATIONAL,154.34,"69,900"
PING AN INSURANCE (GROUP) COMPANY OF CHINA,150.12,"362,000"
HONEYWELL INTERNATIONAL,148.53,"99,000"
TORONTO-DOMINION BANK,144.32,"89,464"
PETROCHINA COMPANY,143.70,"476,223"
CHRISTIAN DIOR,143.38,"128,339"
SHOPIFY,143.34,"7,000"
KEYENCE CORPORATION,142.42,"8,380"
MEDTRONIC,141.39,"90,000"
BRISTOL-MYERS SQUIBB COMPANY,139.46,"32,200"
SIEMENS,138.71,"303,000"
TOTALENERGIES SE,138.01,"105,476"
CVS HEALTH CORPORATION,137.54,"295,000"
UNILEVER GROUP,137.22,"149,000"
T-MOBILE US,137.07,"75,000"
BANK OF CHINA,135.64,"306,322"
BLACKROCK,135.55,"16,500"
SCHWARZ GROUP,NAN,"500,000"
RAYTHEON TECHNOLOGIES CORPORATION,135.37,"174,000"
AMERICAN EXPRESS COMPANY,135.07,"64,000"
VOLKSWAGEN,134.25,"662,575"
APPLIED MATERIALS,134.00,"27,000"
HSBC HOLDINGS,132.94,"223,448"
THE GOLDMAN SACHS GROUP,132.60,"43,900"
WULIANGYE YIBIN,132.39,"26,348"
CITI GROUP,130.53,"223,400"
CHINA MOBILE,130.51,"454,332"
AMGEN,128.03,"24,200"
YOUTUBE,NAN,NAN
ESTEE LAUDER COMPANIES,127.76,"62,000"
